"city_code","covid.fed.ICUbeds.per100K","covid.fed.ICUbeds.cost.percapita"
1100015,0,0
1100023,25.5654063530035,23.6662618810661
1100031,0,0
1100049,32.5986983805432,15.6473752226608
1100056,0,0
1100064,0,0
1100072,0,0
1100080,0,0
1100098,0,0
1100106,0,0
1100114,9.68616815187912,9.29872142580395
1100122,7.6917751847949,3.69205208870155
1100130,0,0
1100148,0,0
1100155,0,0
1100189,0,0
1100205,15.7595938845359,7.56460506457725
1100254,0,0
1100262,0,0
1100288,0,0
1100296,0,0
1100304,9.78368277386974,9.39233546291495
1100320,0,0
1100338,0,0
1100346,0,0
1100379,0,0
1100403,0,0
1100452,0,0
1100502,0,0
1100601,0,0
1100700,0,0
1100809,0,0
1100908,0,0
1100924,0,0
1100940,0,0
1101005,0,0
1101104,0,0
1101203,0,0
1101302,0,0
1101401,0,0
1101435,0,0
1101450,0,0
1101468,0,0
1101476,0,0
1101484,0,0
1101492,0,0
1101500,0,0
1101559,0,0
1101609,0,0
1101708,0,0
1101757,0,0
1101807,0,0
1200013,0,0
1200054,0,0
1200104,0,0
1200138,0,0
1200179,0,0
1200203,22.4537452847135,16.1666966049937
1200252,0,0
1200302,0,0
1200328,0,0
1200336,0,0
1200344,0,0
1200351,0,0
1200385,0,0
1200393,0,0
1200401,7.25657808803681,6.96631496451533
1200427,0,0
1200435,0,0
1200450,0,0
1200500,0,0
1200609,0,0
1200708,0,0
1200807,0,0
1300029,0,0
1300060,0,0
1300086,0,0
1300102,0,0
1300144,0,0
1300201,0,0
1300300,0,0
1300409,0,0
1300508,0,0
1300607,0,0
1300631,0,0
1300680,0,0
1300706,0,0
1300805,0,0
1300839,0,0
1300904,0,0
1301001,0,0
1301100,0,0
1301159,0,0
1301209,0,0
1301308,0,0
1301407,0,0
1301506,0,0
1301605,0,0
1301654,0,0
1301704,0,0
1301803,0,0
1301852,0,0
1301902,0,0
1301951,0,0
1302009,0,0
1302108,0,0
1302207,0,0
1302306,0,0
1302405,0,0
1302504,0,0
1302553,0,0
1302603,11.1282314672145,8.41240234638986
1302702,0,0
1302801,0,0
1302900,0,0
1303007,0,0
1303106,0,0
1303205,0,0
1303304,0,0
1303403,0,0
1303502,0,0
1303536,0,0
1303569,0,0
1303601,0,0
1303700,0,0
1303809,0,0
1303908,0,0
1303957,0,0
1304005,0,0
1304062,0,0
1304104,0,0
1304203,0,0
1304237,0,0
1304260,0,0
1304302,0,0
1304401,0,0
1400027,0,0
1400050,0,0
1400100,21.446341254182,10.2942438020074
1400159,0,0
1400175,0,0
1400209,0,0
1400233,0,0
1400282,0,0
1400308,0,0
1400407,0,0
1400456,0,0
1400472,0,0
1400506,0,0
1400605,0,0
1400704,0,0
1500107,0,0
1500131,0,0
1500206,0,0
1500305,0,0
1500347,0,0
1500404,0,0
1500503,0,0
1500602,17.2459881520061,8.27807431296295
1500701,0,0
1500800,0.933624873260423,0.448139939165003
1500859,0,0
1500909,0,0
1500958,0,0
1501006,0,0
1501105,0,0
1501204,0,0
1501253,0,0
1501303,0,0
1501402,10.1357591583586,5.18524100101291
1501451,0,0
1501501,0,0
1501576,0,0
1501600,0,0
1501709,7.75710939075663,3.72341250756318
1501725,0,0
1501758,0,0
1501782,0,0
1501808,0,0
1501907,0,0
1501956,0,0
1502004,0,0
1502103,0,0
1502152,0,0
1502202,0,0
1502301,0,0
1502400,5.90402999247236,2.83393439638673
1502509,0,0
1502608,0,0
1502707,25.0046883790711,12.0022504219541
1502756,0,0
1502764,0,0
1502772,0,0
1502806,0,0
1502855,0,0
1502905,0,0
1502939,0,0
1502954,0,0
1503002,0,0
1503044,0,0
1503077,0,0
1503093,0,0
1503101,0,0
1503200,0,0
1503309,0,0
1503408,0,0
1503457,0,0
1503507,0,0
1503606,73.9681443858179,35.5047093051926
1503705,0,0
1503754,0,0
1503804,0,0
1503903,0,0
1504000,0,0
1504059,0,0
1504109,0,0
1504208,8.81703592413117,4.23217724358296
1504307,0,0
1504406,0,0
1504422,0,0
1504455,0,0
1504505,0,0
1504604,0,0
1504703,0,0
1504752,0,0
1504802,0,0
1504901,0,0
1504950,0,0
1504976,0,0
1505007,0,0
1505031,0,0
1505064,0,0
1505106,0,0
1505205,0,0
1505304,0,0
1505403,0,0
1505437,0,0
1505486,0,0
1505494,0,0
1505502,0,0
1505536,0,0
1505551,0,0
1505601,0,0
1505635,0,0
1505650,0,0
1505700,0,0
1505809,0,0
1505908,0,0
1506005,0,0
1506104,0,0
1506112,0,0
1506138,24.5433189579608,11.7807930998212
1506161,0,0
1506187,0,0
1506195,0,0
1506203,0,0
1506302,0,0
1506351,0,0
1506401,0,0
1506500,0,0
1506559,0,0
1506583,0,0
1506609,0,0
1506708,0,0
1506807,2.28399895588619,1.09631949882537
1506906,0,0
1507003,0,0
1507102,0,0
1507151,0,0
1507201,0,0
1507300,0,0
1507409,0,0
1507458,0,0
1507466,0,0
1507474,0,0
1507508,0,0
1507607,0,0
1507706,0,0
1507755,0,0
1507805,0,0
1507904,0,0
1507953,0,0
1507961,0,0
1507979,0,0
1508001,0,0
1508035,0,0
1508050,0,0
1508084,0,0
1508100,0,0
1508126,0,0
1508159,0,0
1508209,0,0
1508308,0,0
1508357,0,0
1508407,0,0
1600055,0,0
1600105,0,0
1600154,0,0
1600204,0,0
1600212,0,0
1600238,0,0
1600253,0,0
1600279,0,0
1600303,16.5723666509392,7.9547359924508
1600402,0,0
1600501,0,0
1600535,0,0
1600550,0,0
1600600,0,0
1600709,0,0
1600808,0,0
1700251,0,0
1700301,0,0
1700350,0,0
1700400,0,0
1700707,0,0
1701002,0,0
1701051,0,0
1701101,0,0
1701309,0,0
1701903,0,0
1702000,0,0
1702109,9.27031699030979,6.28200304284522
1702158,0,0
1702208,0,0
1702307,0,0
1702406,0,0
1702554,0,0
1702703,0,0
1702901,0,0
1703008,0,0
1703057,0,0
1703073,0,0
1703107,0,0
1703206,0,0
1703305,0,0
1703602,0,0
1703701,0,0
1703800,0,0
1703826,0,0
1703842,0,0
1703867,0,0
1703883,0,0
1703891,0,0
1703909,0,0
1704105,0,0
1704600,0,0
1705102,0,0
1705508,0,0
1705557,0,0
1705607,0,0
1706001,0,0
1706100,0,0
1706258,0,0
1706506,0,0
1707009,0,0
1707108,0,0
1707207,0,0
1707306,0,0
1707405,0,0
1707553,0,0
1707652,0,0
1707702,0,0
1708205,0,0
1708254,0,0
1708304,0,0
1709005,0,0
1709302,0,0
1709500,5.7113484493689,2.74144725569707
1709807,0,0
1710508,0,0
1710706,0,0
1710904,0,0
1711100,0,0
1711506,0,0
1711803,0,0
1711902,0,0
1711951,0,0
1712009,0,0
1712157,0,0
1712405,0,0
1712454,0,0
1712504,0,0
1712702,0,0
1712801,0,0
1713205,0,0
1713304,0,0
1713601,0,0
1713700,0,0
1713809,0,0
1713957,0,0
1714203,0,0
1714302,0,0
1714880,0,0
1715002,0,0
1715101,0,0
1715150,0,0
1715259,0,0
1715507,0,0
1715705,0,0
1715754,0,0
1716109,0,0
1716208,0,0
1716307,0,0
1716505,0,0
1716604,0,0
1716653,0,0
1716703,0,0
1717008,0,0
1717206,0,0
1717503,0,0
1717800,0,0
1717909,0,0
1718006,0,0
1718204,0,0
1718303,0,0
1718402,0,0
1718451,0,0
1718501,0,0
1718550,0,0
1718659,0,0
1718709,0,0
1718758,0,0
1718808,0,0
1718840,0,0
1718865,0,0
1718881,0,0
1718899,0,0
1718907,0,0
1719004,0,0
1720002,0,0
1720101,0,0
1720150,0,0
1720200,0,0
1720259,0,0
1720309,0,0
1720499,0,0
1720655,0,0
1720804,0,0
1720853,0,0
1720903,0,0
1720937,0,0
1720978,0,0
1721000,4.89722360069998,3.91777888055998
1721109,0,0
1721208,0,0
1721257,0,0
1721307,0,0
1722081,0,0
1722107,0,0
2100055,0,0
2100105,0,0
2100154,0,0
2100204,0,0
2100303,0,0
2100402,0,0
2100436,0,0
2100477,0,0
2100501,0,0
2100550,0,0
2100600,0,0
2100709,0,0
2100808,0,0
2100832,0,0
2100873,0,0
2100907,0,0
2100956,0,0
2101004,0,0
2101103,0,0
2101202,10.4971848458822,5.03864872602348
2101251,0,0
2101301,0,0
2101350,0,0
2101400,18.7638774510315,9.00666117649512
2101509,0,0
2101608,0,0
2101707,0,0
2101731,0,0
2101772,0,0
2101806,0,0
2101905,0,0
2101939,0,0
2101970,0,0
2102002,0,0
2102036,0,0
2102077,0,0
2102101,0,0
2102150,0,0
2102200,0,0
2102309,0,0
2102325,0,0
2102358,0,0
2102374,0,0
2102408,0,0
2102507,0,0
2102556,0,0
2102606,0,0
2102705,0,0
2102754,0,0
2102804,0,0
2102903,0,0
2103000,14.4993203443589,12.1794290892614
2103109,0,0
2103125,0,0
2103158,0,0
2103174,0,0
2103208,14.9635264043893,7.18249267410686
2103257,0,0
2103307,0,0
2103406,0,0
2103505,0,0
2103554,0,0
2103604,18.308311973636,8.78798974734529
2103703,0,0
2103752,0,0
2103802,0,0
2103901,0,0
2104008,0,0
2104057,0,0
2104073,0,0
2104081,0,0
2104099,0,0
2104107,0,0
2104206,0,0
2104305,0,0
2104404,0,0
2104503,0,0
2104552,0,0
2104602,0,0
2104628,0,0
2104651,0,0
2104677,0,0
2104701,0,0
2104800,14.2724612859488,6.85078141725541
2104909,0,0
2105005,0,0
2105104,0,0
2105153,0,0
2105203,0,0
2105302,23.5215183332883,14.9920759475123
2105351,0,0
2105401,0,0
2105427,0,0
2105450,0,0
2105476,0,0
2105500,0,0
2105609,0,0
2105658,0,0
2105708,17.7809388335704,13.2764343290659
2105807,0,0
2105906,0,0
2105922,0,0
2105948,0,0
2105963,0,0
2105989,0,0
2106003,0,0
2106102,0,0
2106201,0,0
2106300,0,0
2106326,0,0
2106359,0,0
2106375,0,0
2106409,0,0
2106508,0,0
2106607,0,0
2106631,0,0
2106672,0,0
2106706,0,0
2106755,0,0
2106805,0,0
2106904,0,0
2107001,0,0
2107100,0,0
2107209,0,0
2107258,0,0
2107308,0,0
2107357,0,0
2107407,0,0
2107456,0,0
2107506,0,0
2107605,0,0
2107704,0,0
2107803,0,0
2107902,0,0
2108009,0,0
2108058,0,0
2108108,0,0
2108207,0,0
2108256,0,0
2108306,0,0
2108405,0,0
2108454,0,0
2108504,0,0
2108603,11.9364503383984,5.72949616243122
2108702,0,0
2108801,0,0
2108900,0,0
2109007,0,0
2109056,0,0
2109106,20.8177200433009,19.9850112415688
2109205,0,0
2109239,0,0
2109270,0,0
2109304,0,0
2109403,0,0
2109452,0,0
2109502,0,0
2109551,0,0
2109601,0,0
2109700,0,0
2109759,0,0
2109809,0,0
2109908,22.3491155337528,10.7275754562013
2110005,0,0
2110039,39.4150802096882,18.9192385006503
2110104,0,0
2110203,0,0
2110237,0,0
2110278,0,0
2110302,0,0
2110401,0,0
2110500,0,0
2110609,0,0
2110658,0,0
2110708,0,0
2110807,0,0
2110856,0,0
2110906,0,0
2111003,0,0
2111029,0,0
2111052,0,0
2111078,0,0
2111102,0,0
2111201,0,0
2111250,0,0
2111300,20.9202191212606,10.8208029937555
2111409,0,0
2111508,0,0
2111532,0,0
2111573,0,0
2111607,0,0
2111631,0,0
2111672,0,0
2111706,0,0
2111722,0,0
2111748,0,0
2111763,0,0
2111789,0,0
2111805,0,0
2111904,0,0
2111953,0,0
2112001,0,0
2112100,0,0
2112209,11.7493625970791,8.45954106989696
2112233,0,0
2112274,0,0
2112308,0,0
2112407,0,0
2112456,0,0
2112506,0,0
2112605,0,0
2112704,0,0
2112803,0,0
2112852,0,0
2112902,0,0
2113009,0,0
2114007,0,0
2200053,0,0
2200103,0,0
2200202,0,0
2200251,0,0
2200277,0,0
2200301,0,0
2200400,0,0
2200459,0,0
