"city_code","time.5min","time.6_30min","time.30_60min","time.1_2h","time.2hplus","time.avg"
1100015,33.17,52.78,7.71,3.61,2.73,21.1534
1100023,18.26,72.7,7.05,1.22,0.76,19.1815
1100031,48.88,39.31,8.77,2.38,0.67,16.4123
1100049,23.88,65.73,7.8,1.77,0.82,19.1124
1100056,36.24,55.72,5.79,1.76,0.49,16.6191
1100064,28.8,60.69,8.11,1.79,0.61,18.3567
1100072,42.73,47.81,6.71,1.88,0.88,16.5098
1100080,32.35,55.36,8.09,3.18,1.02,19.3088
1100098,30.61,59.52,4.37,2.41,3.09,20.0876
1100106,21.69,69.93,6.62,0.82,0.95,18.5289
1100114,21.49,71.39,5.98,0.69,0.45,17.7767
1100122,20.01,69.25,8.23,1.32,1.18,19.773
1100130,28.19,60.67,7.68,2.4,1.06,19.2181
1100148,30.78,60.89,6.77,0.85,0.71,17.1627
1100155,25.54,63.92,8.61,1.13,0.81,18.6461
1100189,24.23,67.55,6.18,1.4,0.64,18.1795
1100205,9.91,60.62,22.09,5.69,1.68,28.4846
1100254,32.14,56.92,6.48,3.23,1.23,19.1516
1100262,51.66,34.24,11.21,2.24,0.65,16.5867
1100288,22.8,67.75,7.84,1.28,0.33,18.411
1100296,31.96,56.65,8.43,1.89,1.07,18.5735
1100304,19.64,72.69,6.28,0.98,0.42,18.2782
1100320,29.15,61.05,7.86,1.54,0.39,17.8375
1100338,32.67,58.21,6.14,1.57,1.4,17.9673
1100346,35.47,49.85,11.18,2.94,0.56,19.0955
1100379,32.85,51.05,11.96,3.53,0.61,20.1225
1100403,24.79,65.92,7.44,1.42,0.43,18.2471
1100452,29.39,59.94,6.87,0.95,2.85,19.6252
1100502,51.04,39.12,7.35,1.28,1.21,15.5051
1100601,42.76,47.02,8.16,1.58,0.47,16.2596
1100700,39.57,46.5,9.26,3.2,1.47,19.1595
1100809,15.43,51.33,25.33,6.23,1.67,29.0204
1100908,41.67,44.68,10.12,3.07,0.45,17.9829
1100924,26.52,61.64,7.97,2.34,1.53,19.9497
1100940,24.03,63.6,7.34,3.48,1.55,20.9445
1101005,32.34,57.85,7.24,0.96,1.61,18.084
1101104,29.32,58.47,9.35,1.98,0.87,19.0241
1101203,35.36,56.48,6.81,0.53,0.82,16.4599
1101302,36.36,55.18,7.02,1.32,0.13,16.2534
1101401,21.51,68.86,8.07,1.02,0.54,18.6678
