"city_code","employed","employed.privateFormal","employed.publicFormal","employed.informal","employed.noWage","employed.subsistence","employed.owner","employed.self"
1100015,53.4,24.16,5.01,24.23,2.65,7.15,2.67,34.13
1100023,66.45,40.14,5.98,20.33,1.46,2.79,2.22,27.08
1100031,53.31,22.32,7.21,23.78,3.03,10.36,0.62,32.69
1100049,65.37,38.24,7.22,19.92,1.99,6.36,1.99,24.29
1100056,58.54,23.54,9.16,25.84,3.73,7.51,2.22,28
1100064,62.01,29.07,9.02,23.93,1.7,9.36,1.45,25.48
1100072,50.33,24.89,3.92,21.53,1.17,13.7,0.19,34.61
1100080,54.35,19.75,6.01,28.58,0.75,7.79,0.72,36.39
1100098,59.49,28.21,6.09,25.19,4.49,8.34,1,26.68
1100106,68.81,32.23,12.64,23.94,1.32,3.32,0.44,26.12
1100114,58.74,32.23,7.25,19.26,4.5,4.07,1.4,31.3
1100122,69.84,44.33,6.76,18.75,3.81,2.38,2.27,21.7
1100130,45.58,18.28,4.61,22.69,1.8,16.72,0.82,35.07
1100148,36.67,16.43,4.9,15.34,3.23,10.94,2.16,47.01
1100155,62.55,30.05,5.84,26.66,3.1,5.67,1.7,26.97
1100189,73.03,50.88,5.8,16.34,1.61,2.71,2.43,20.22
1100205,74.53,48.83,10.61,15.09,1.27,1.43,1.17,21.58
1100254,48.97,22.07,7.31,19.59,3.13,9.56,2.3,36.03
1100262,64.22,22.92,13.92,27.38,6.81,5.93,0.59,22.45
1100288,69.4,37.61,8.18,23.62,1.59,4.53,2.98,21.49
1100296,51.18,26.33,4.95,19.9,4.59,12.84,1.07,30.32
1100304,72.22,45.19,7.58,19.45,1.7,2.22,3.51,20.35
1100320,45.04,23.92,3.41,17.72,3.06,22.26,0.88,28.76
1100338,42.12,20.28,3.1,18.74,4.54,11,0.22,42.12
1100346,57.19,22.64,10.26,24.29,6,7.28,2.06,27.46
1100379,37.45,15.46,2.83,19.17,10.75,13.29,0.74,37.77
1100403,39.1,17.87,1.04,20.19,3.23,8.37,0.47,48.83
1100452,52.26,17.43,6.14,28.69,4.28,10.26,1.04,32.16
1100502,34.69,18.7,0.78,15.21,3.39,30.96,0.3,30.67
1100601,43.64,12.16,6.37,25.11,8.06,10.11,1.69,36.5
1100700,42.67,7.56,7.48,27.63,10.99,4.84,0.82,40.68
1100809,68.38,39.38,5.82,23.17,0.86,9.18,0.8,20.78
1100908,45.64,12.49,17.17,15.99,8.62,17.14,0.29,28.31
1100924,69.8,41.88,3.84,24.08,1.94,7.05,0.7,20.52
1100940,54.93,22.22,5.48,27.23,2,8,1.77,33.3
1101005,33.42,11.28,4.44,17.71,8.07,16.64,0,41.87
1101104,52.56,22.2,9.58,20.79,3.56,14.43,1.67,27.77
1101203,36.66,13.52,6.39,16.74,9.3,15.32,1.07,37.66
1101302,48.48,14.47,7.64,26.37,2.09,17.75,1.57,30.12
1101401,46.52,18.86,7.34,20.32,6.67,9.68,0.62,36.5
1101435,33.72,7.82,4.58,21.33,19.1,13.82,0.29,33.07
1101450,48.97,22.67,7.09,19.21,5.87,23.9,2.18,19.07
1101468,57.13,14.61,18.13,24.39,4.25,9.44,0.74,28.44
1101476,48.66,18.5,10.28,19.89,3.73,9.2,0.31,38.1
1101484,41.28,18.16,9.63,13.49,3.22,16.02,0.59,38.89
1101492,43.95,15.38,5.12,23.45,5.74,13.42,1.11,35.78
1101500,32.47,14.92,1.57,15.98,12.93,14.9,0.14,39.56
1101559,41.52,11.69,10.23,19.6,5.27,16.72,0.75,35.73
1101609,32.49,9.11,8.87,14.51,6.11,25.57,0.37,35.45
1101708,37.76,12.05,4.06,21.65,7.13,25.75,1.1,28.26
1101757,35.54,9.54,8.43,17.57,10.52,14.39,1.79,37.76
1101807,47.04,10.63,11.99,24.43,3.64,11.06,0.19,38.06
1200013,52.44,26.44,1.09,24.92,1.37,16.87,3.49,25.82
1200054,61.94,22.67,3.48,35.78,4.02,16.15,0.63,17.26
1200104,54.3,23.16,2.72,28.41,4.14,12.84,0.29,28.43
1200138,55.33,25.75,3.3,26.27,1.45,22.07,0.23,20.92
1200179,45.01,23.64,0.39,20.98,11.47,17.39,0.05,26.08
1200203,65.61,30.51,6.96,28.14,1.63,10.36,0.74,21.65
1200252,57.12,25.26,2.33,29.54,1.95,7.05,0.72,33.15
1200302,45.58,18.14,3.03,24.4,10.28,24.76,0.19,19.2
1200328,54.28,22.76,3.96,27.55,7.14,23.66,0.6,14.32
1200336,49.97,17.97,6.53,25.46,4.3,18.41,0.73,26.6
1200344,58.8,22.62,7.63,28.56,0.21,22.88,0.4,17.71
1200351,37.7,12.22,0.28,25.2,5.85,34.59,0.09,21.77
1200385,64.43,34,1.71,28.72,1.81,13.39,1.4,18.97
1200393,31.03,12.5,0.9,17.62,11.35,33.51,0.26,23.85
1200401,76.18,47.31,6.98,21.89,1.5,1.6,1.29,19.44
1200427,33.69,14.35,1.07,18.27,9.76,23.26,0.1,33.18
1200435,57.11,22.69,6.84,27.59,1.19,31.19,1.07,9.44
1200450,71.92,38.42,3.13,30.37,1.76,4.94,0.82,20.57
1200500,58.12,27.8,1.95,28.37,4.06,8.9,0.3,28.61
1200609,56.3,23.41,1.08,31.8,4.94,22.94,0.93,14.9
1200708,54.9,24.77,3.48,26.66,3.17,16.34,1.14,24.45
1200807,67.3,25.97,0.29,41.05,3.84,13.15,0.1,15.6
1300029,30.56,5.9,3.3,21.36,0.92,26.35,1.3,40.87
1300060,33.63,3.32,10.38,19.93,5.83,37.58,0,22.95
1300086,33.95,2.28,5.4,26.28,2.1,30.89,0.69,32.38
1300102,28.46,3.09,9.33,16.05,5.3,31.96,0.06,34.23
1300144,52.19,6.71,7.39,38.09,2.86,10.6,0.6,33.75
1300201,32.08,6.29,5.98,19.8,0.67,43.67,0,23.59
1300300,40.56,4.65,8.58,27.34,2.39,24.59,0.61,31.85
1300409,51.55,10.23,12.75,28.57,3.9,21.46,0.82,22.27
1300508,30.78,5.05,3.14,22.59,6.62,30.98,0.08,31.53
1300607,40.51,7.56,5.07,27.88,3.58,24.62,0.35,30.95
1300631,34.11,3.33,4.13,26.65,1.5,34.28,0.67,29.44
1300680,35.83,3.4,11.06,21.37,0.47,39.5,0.55,23.65
1300706,56,12.06,7.62,36.31,3.04,15.57,0.8,24.58
1300805,33.81,5.34,4.47,24.01,4.38,29.43,0.4,31.98
1300839,43.41,7.15,5.8,30.46,1.09,15.31,0.25,39.94
1300904,37.92,5.77,12.09,20.06,0.32,39.52,0.11,22.13
1301001,50.76,15.13,4.85,30.78,0.77,21.81,0.7,25.96
1301100,39.77,9.12,10.78,19.87,4.97,20.38,0.14,34.75
1301159,28.38,4.32,1.68,22.38,3.63,19.14,0.49,48.37
1301209,50.77,15.29,8.32,27.16,1.57,11.69,0.63,35.33
1301308,32.48,5.6,5.14,21.74,1.53,17.64,0.39,47.96
1301407,47.83,7.06,6.37,34.39,5.22,19.75,0.5,26.7
1301506,56.8,4.99,5.91,45.9,1.87,24.87,0.94,15.52
1301605,40.84,4.48,5.4,30.97,5.49,27.52,0.65,25.49
1301654,46.3,9.94,8.19,28.16,0.92,42.58,0.37,9.84
1301704,50.74,16.05,11.51,23.19,2.15,16.47,1.38,29.26
1301803,42.7,3.26,2.76,36.69,2.1,28.93,0.32,25.94
1301852,49.95,17.48,7.93,24.54,3,12.1,0.41,34.54
1301902,53.82,20.99,5.98,26.84,1.5,13.19,0.5,31
