"city_code","wages_less0.25","wages_0.25to0.5","wages_0.5to1","wages_1to2","wages_2to3","wages_3to5","wages_5to10","wages_10to15","wages_15to20","wages_20to30","wages_30plus","wages_noWage","wages_avg"
1100015,3.86,4.97,25.29,15.9,4.08,2.89,1.42,0.16,0.09,0.07,0.04,41.24,0.8458125
1100023,1.64,2.58,21.38,21.07,6.71,4.72,2.97,0.35,0.31,0.1,0.1,38.04,1.222475
1100031,3.83,4.36,26.43,15.26,4.23,3.19,1.15,0.19,0.08,0.11,0.02,41.15,0.8439
1100049,2.04,2.8,22.78,19.97,6.34,4.9,3.07,0.36,0.31,0.14,0.09,37.18,1.232
1100056,3.24,4.23,28.74,16.8,5.43,4.29,1.99,0.3,0.17,0.08,0.1,34.62,1.0653625
1100064,2.83,3.73,27.46,16.4,5.39,4.41,2.26,0.32,0.18,0.08,0.04,36.9,1.0571625
1100072,4.7,4.57,24.37,16.54,4.91,2.58,1.16,0.15,0.05,0.03,0.01,40.93,0.8107125
1100080,5.1,6.99,22.19,12.45,3.78,2.98,1.87,0.15,0.07,0.01,0.07,44.35,0.8005875
1100098,2.69,3.8,22.4,18.44,5.19,3.67,2.08,0.2,0.17,0.03,0.04,41.28,0.972375
1100106,2.84,3.45,20.25,14.97,4.83,4.31,2.72,0.39,0.21,0.09,0.05,45.9,1.0166125
1100114,2.33,3.23,23.03,18.95,4.86,3.81,2.28,0.22,0.19,0.06,0.05,40.99,1.0105625
1100122,2.05,2.43,21.96,21.08,6.53,5.19,3.33,0.5,0.35,0.15,0.11,36.31,1.3099875
1100130,3.7,5.94,22.37,13.49,4.2,3,1.46,0.15,0.11,0.06,0.02,45.51,0.79515
1100148,6.49,7.54,24.02,14.14,3.71,2.78,1.31,0.14,0.11,0.05,0.02,39.68,0.7942
1100155,3,3.47,25.52,19.1,5.33,4.55,2.66,0.33,0.25,0.11,0.08,35.6,1.1496625
1100189,2.33,2.63,25.33,21.16,6.09,4.48,2.81,0.34,0.25,0.13,0.1,34.35,1.2140125
1100205,1.32,1.7,16.24,21.1,8.28,6.7,4.84,0.78,0.65,0.3,0.16,37.91,1.620225
1100254,3.34,4.18,26.57,14.3,4.67,3.88,1.9,0.25,0.12,0.05,0.03,40.71,0.926
1100262,3.89,5.51,23.09,16.63,3.71,2.86,1.47,0.04,0.29,0.11,0.07,42.33,0.8746625
1100288,3.05,3.1,25.57,20.23,5.9,4.55,2.51,0.28,0.22,0.06,0.07,34.47,1.141725
1100296,4.43,5.02,25.42,16.17,4.3,2.92,1.72,0.21,0.16,0.08,0.05,39.51,0.90565
1100304,1.4,2.44,21.91,22.21,7.37,6.09,3.69,0.51,0.4,0.25,0.11,33.62,1.443975
1100320,5.66,6.29,23.74,13.53,3.91,2.57,1.2,0.14,0.09,0.05,0.04,42.77,0.7670375
1100338,4.51,5.87,23.05,13.73,3.37,2.1,1.27,0.1,0.1,0.04,0.01,45.86,0.7186125
1100346,5.86,5.67,23.26,15.06,4.41,3.21,1.43,0.22,0.18,0.06,0.08,40.56,0.8801625
1100379,6.19,7.71,23.56,12.3,2.95,2.28,0.96,0.09,0.1,0.01,0.01,43.84,0.6767875
1100403,6.32,7.17,24.86,15.44,4.37,2.63,1.32,0.16,0.06,0.06,0.06,37.54,0.8376875
1100452,4.01,5.04,22.62,16.86,4.58,3.2,1.51,0.14,0.1,0.06,0.05,41.83,0.872225
1100502,4.62,4.66,25.29,12.68,3.64,2.1,0.92,0.13,0.06,0.01,0.02,45.88,0.68815
