"city_code","workingHours_less14h","workingHours_15to39h","workingHours_40to44h","workingHours_45to48h","workingHours_49hplus","working_hours.avg"
1100015,7.7,16.88,42.52,10.2,22.7,39.36
1100023,5.72,13.71,47.82,15.52,17.24,40.2513
1100031,13.91,21.21,43.15,10.59,11.14,36.18005
1100049,6.69,15.8,51.95,7.92,17.64,39.348
1100056,6.33,19.19,37.84,13.54,23.1,39.5754
1100064,18.56,17.29,39.77,8.06,16.33,35.7197
1100072,16.41,22.32,41.98,10.16,9.14,35.1584
1100080,8.77,22.1,44.22,8.96,15.95,37.7491
1100098,9.42,20.16,40.42,6.95,23.04,38.25975
1100106,15.18,19.8,45.15,7.83,12.04,35.97475
1100114,7.31,22.03,45.93,9.84,14.89,38.1338
1100122,4.81,16.14,52.27,11.38,15.4,39.8223
1100130,9.22,20.67,44.98,12.39,12.74,37.76725
1100148,8.39,26.32,42.31,7.76,15.22,37.1174
1100155,5.98,19.94,47.55,7.82,18.71,38.9962
1100189,7.35,15.02,46.64,10.42,20.58,39.6027
1100205,9.64,15.4,49.93,10.85,14.17,38.46675
1100254,16.82,20.5,35.44,8.02,19.22,35.9217
1100262,8.97,11.95,65.17,1.66,12.25,38.6281
1100288,4.71,16.4,53.27,9.82,15.8,39.7691
1100296,8.43,28.14,37.34,5.68,20.41,37.1029
1100304,5.62,16.3,47.88,10.37,19.83,39.83615
1100320,9.5,23.49,42.68,7.6,16.73,37.3296
1100338,11.2,22.91,40.7,8.94,16.26,36.9722
1100346,7.54,22.28,36.71,8.44,25.02,38.6738
1100379,9.9,23.24,46.16,6.23,14.48,37.04015
1100403,4.27,27.58,43.88,11.85,12.43,38.07495
1100452,6.1,17.27,45.88,11.95,18.8,39.55525
1100502,10.85,21.05,53.14,5.31,9.65,36.71895
1100601,7.99,22.14,38.78,7.63,23.46,38.42735
1100700,3.85,36.21,32.45,3.82,23.67,37.3193
1100809,4.86,13.99,43.84,18.29,19.02,40.69515
1100908,14.54,28.38,39.81,6.67,10.6,34.71395
1100924,10.9,11.44,37.02,15.75,24.89,39.68305
1100940,6.86,16.25,42.38,15.07,19.44,39.68065
1101005,13.05,24.95,49.16,4.77,8.06,35.37815
1101104,4.94,17.3,44.03,17.46,16.28,39.9513
1101203,18.89,19.33,44.22,5.79,11.77,34.89575
1101302,19.68,24.85,30.05,8.14,17.28,34.338
1101401,18.59,23.91,41.22,8.48,7.79,34.131
1101435,12.71,45.79,27.75,3.26,10.5,32.4586
1101450,7.54,19.57,38.22,17.51,17.16,38.94245
1101468,9.82,21.32,38.71,14.34,15.8,37.7995
1101476,12.82,19.29,45.45,4.63,17.81,36.97195
1101484,13.12,29.49,34.98,7.52,14.89,35.2836
1101492,8.41,29.75,37.32,9.65,14.87,36.65785
1101500,6.41,22.69,51.38,5.02,14.5,38.0426
1101559,28.37,31.06,26.49,4.63,9.46,30.27215
1101609,9.2,32.68,34.68,10.35,13.1,35.90895
1101708,19.9,32.28,27.81,4.61,15.39,32.86655
1101757,6.1,21.33,49.52,6.87,16.17,38.52935
1101807,14.01,39.6,30.5,4.48,11.42,33.1424
1200013,10.63,22.2,41.85,14.7,10.62,37.0985
1200054,5.76,23.05,49.8,9.21,12.18,38.19675
1200104,15.7,20.55,43.45,9.97,10.33,35.69325
1200138,4.92,28.25,33.84,19.56,13.42,38.2003
1200179,13.1,26.92,34.02,13.22,12.73,35.7758
1200203,10.67,23.61,30.08,16.13,19.51,37.56245
1200252,6.74,21.11,35.2,19.99,16.95,39.02815
1200302,23.18,25.12,25.81,14.5,11.4,33.1963
1200328,19.69,35.23,28.2,14.75,2.13,32.01515
1200336,12.82,39.89,32.95,5.31,9.03,33.29795
1200344,2.99,18.4,34.32,26.26,18.03,40.8466
1200351,31.33,31.01,26.23,10.76,0.67,29.1072
1200385,7.84,19.97,41.97,8.52,21.7,38.7117
1200393,8.55,38.28,37.05,6.59,9.53,34.82765
1200401,9.52,19.2,45.01,11.69,14.58,38.00105
1200427,22.81,32.31,25.44,11.31,8.13,31.84475
1200435,12.54,39.01,30.81,3.56,14.08,33.7831
1200450,10.12,19.72,44.09,11,15.07,37.7583
1200500,14.54,23.71,32.73,12.13,16.89,36.10045
1200609,15.58,28.19,29.98,13.77,12.47,34.89745
1200708,18.61,21.88,36.45,9.13,13.94,34.89805
1200807,7.64,21.22,57.54,9.03,4.57,37.40405
1300029,6.43,32.14,34.87,11.08,15.47,36.9559
1300060,27.95,14.5,41.7,6.41,9.44,32.94825
1300086,8.46,47.96,26.76,12.75,4.07,33.29585
1300102,10.71,28.08,41.61,9.57,10.03,35.92195
1300144,10.39,18.66,35.46,20.95,14.53,38.24745
1300201,4.82,16.23,52.38,23.21,3.36,39.49555
1300300,18.07,37.78,24.73,5.95,13.47,32.48405
1300409,17.86,37.14,26.25,6.65,12.1,32.57445
1300508,11.85,45.59,25.97,8.04,8.55,32.8038
1300607,9.04,36.32,36,4.28,14.36,35.2186
1300631,4.64,30.1,37.74,12.04,15.48,37.8112
1300680,7.03,43.14,34.48,5.82,9.53,34.4896
1300706,9.8,32.03,26.45,13.05,18.67,36.34565
1300805,25.46,30.39,20.05,10.06,14.03,31.7433
1300839,8.28,23.88,43.61,7.06,17.18,37.6241
1300904,2.04,51.64,24.7,12.79,8.83,34.87645
1301001,7.33,28.56,37.01,10.76,16.35,37.2965
1301100,31.98,24.69,31.78,2.97,8.58,30.07635
1301159,24.98,41.95,19.22,2.61,11.24,29.61735
1301209,6.82,33.91,25.9,9.04,24.32,37.1089
1301308,4.25,36.49,23.33,12.74,23.19,37.5331
1301407,8.96,33.57,19.85,16.84,20.77,36.6632
1301506,7.74,37.2,25.04,14.36,15.65,35.9903
1301605,12.52,41,29.52,9.52,7.44,33.2936
1301654,5.99,34.3,46.71,9.29,3.71,35.85555
1301704,9.05,28.99,36.04,11.67,14.25,36.64015
1301803,7.4,33.95,16.35,30.35,11.95,37.03775
1301852,11.18,24.13,32.45,10.15,22.09,37.25315
1301902,10.43,28.17,32.93,11.61,16.86,36.55675
1301951,5.04,40.2,35.72,10.58,8.46,35.6271
1302009,8.68,33.52,29.8,8.73,19.27,36.28335
1302108,12.66,34.22,23.05,20.69,9.38,34.90985
1302207,11.31,43.8,16.45,7.9,20.55,34.0614
1302306,3.84,40.54,35.05,14.97,5.6,35.90945
1302405,11.37,26.59,30.46,10.06,21.52,36.787
1302504,8.2,26.72,26.34,16.5,22.24,37.9953
1302553,9.67,39.01,36.96,6.4,7.95,34.2812
1302603,11.34,15.29,44.09,14.63,14.65,38.21515
1302702,15.81,33.53,24.34,9.13,17.19,34.15785
1302801,22.04,34.18,18.46,15.14,10.19,32.1006
1302900,15.43,35.61,30.47,6.5,11.99,33.4699
1303007,10.05,49.78,24.59,2.73,12.85,32.74135
1303106,19.01,28.08,24.6,9.1,19.21,34.2194
1303205,15.85,35.36,37.43,3.6,7.76,32.9632
1303304,6.71,39.84,34.01,6.62,12.83,35.3454
1303403,14.02,26.84,30.23,12.09,16.82,35.76985
1303502,7.86,62.6,18.32,5.43,5.79,31.05885
1303536,13.05,20.65,40.97,6.81,18.52,36.85135
1303569,8.33,29.06,45.8,5.51,11.31,36.35245
1303601,6.6,70.42,14.72,3.47,4.79,30.08045
1303700,21.95,32.37,22.7,11.96,11.02,32.3081
1303809,11.09,35.58,30.62,5.63,17.09,35.01165
1303908,13.01,33.96,24.93,9.57,18.54,34.99585
1303957,4.53,28.6,26.77,27.91,12.18,38.54595
1304005,9.16,42.13,39.68,2.23,6.8,33.69205
1304062,9.35,34.34,28.5,8.69,19.13,35.96535
1304104,8.52,30.78,26.19,8.7,25.81,37.1956
1304203,7.85,22.76,29.54,15.1,24.75,38.8
1304237,14.11,33.74,32.27,10.56,9.32,34.1158
1304260,5.97,33.99,27.31,14.08,18.66,37.1739
1304302,5.35,32.05,38.74,9.04,14.82,37.1387
1304401,8.72,35.93,21.75,15.91,17.7,36.12805
1400027,3.46,21.59,63.74,3.32,7.89,38.4944
1400050,20.76,22.39,39.46,3.22,14.17,33.9655
1400100,7.18,25.09,44.96,9.27,13.51,37.59315
1400159,10.82,35.02,40.1,2.08,11.98,34.6496
1400175,27.29,17.51,43.23,3.08,8.89,32.4932
1400209,6.03,19.36,42.75,10.98,20.89,39.3682
1400233,3.2,38.23,46.33,4.47,7.77,36.11455
1400282,11.59,22.82,30.43,23.78,11.37,37.1936
1400308,9.56,31.01,46.8,4.2,8.42,35.4459
1400407,18.03,35.97,36.69,2.9,6.41,32.1353
1400456,12.25,31.21,36.6,3.82,16.11,35.1839
1400472,12.86,27.74,39.16,6.55,13.68,35.48635
1400506,8.19,23.44,37.87,14.27,16.23,37.96905
1400605,7.23,26.52,58.11,3.6,4.54,36.4774
1400704,46.92,32.8,13.95,1.35,4.99,24.35665
1500107,9.93,31.21,25.21,15.68,17.97,36.5016
1500131,6.55,18.92,39.16,9.65,25.72,39.56265
1500206,17.87,42.48,20.72,5.55,13.38,31.81075
1500305,24.32,36.09,9.23,11.42,18.94,31.6166
1500347,8.35,19.95,41.65,16.74,13.3,38.3496
1500404,18.14,30.03,23.82,12.14,15.86,34.0686
1500503,10.03,27.81,32.37,15.17,14.62,36.72615
1500602,8.29,19.21,40.06,14.28,18.15,38.7062
1500701,9.27,38.66,17.18,14.73,20.17,35.68435
1500800,9.21,20.97,36.9,14.09,18.83,38.22785
1500859,9.93,22.36,43.91,9.46,14.34,37.2951
1500909,18.42,41.2,25.35,8.19,6.84,31.50975
1500958,11.96,28.9,25.5,17.56,16.09,36.2369
1501006,35.92,38.9,19.18,1.6,4.4,26.4874
1501105,11.83,43.53,22.8,5.94,15.89,33.5335
1501204,10.93,46.52,29.54,2.94,10.08,32.8037
1501253,6.06,15.4,38.85,11.23,28.45,40.48585
1501303,11.5,27.68,28.45,15.73,16.63,36.49575
1501402,12.65,21.66,37.03,12.4,16.26,36.9052
1501451,7.82,33.59,26.93,14.11,17.54,36.63045
1501501,10.33,19.85,35.82,16.94,17.06,38.0866
1501576,7.31,22.38,26.24,18.91,25.16,39.20835
1501600,9.48,27.07,40.45,19.04,3.96,36.4191
1501709,9.34,34.26,24.16,11.29,20.94,36.21545
1501725,7.7,19.76,47.4,8.96,16.18,38.4158
1501758,9.59,27.35,25.35,12.5,25.2,37.5346
1501782,3,20.07,45.95,19.89,11.09,39.82085
1501808,7.85,35.07,29.93,11.14,16,36.1586
1501907,19.24,46.09,22.6,4.41,7.66,30.43395
1501956,18.9,24.59,33.04,6.95,16.53,34.49355
1502004,34.22,26.76,10.81,9.06,19.14,30.1477
1502103,20.22,39.53,17.94,9.27,13.04,31.73885
1502152,17.53,13.97,33,17.04,18.46,37.0551
1502202,11.55,26.29,26.93,12.62,22.61,36.9731
1502301,9.99,34.23,35.86,9.44,10.49,35.2316
1502400,7.99,17.97,36.42,17.68,19.94,39.2587
1502509,29.69,19.18,19.54,0.36,31.23,33.0121
1502608,10.41,48.73,22.06,5.15,13.66,32.96785
1502707,10.84,21.73,39.72,9.9,17.81,37.3975
1502756,9.47,38.13,35.75,4.25,12.39,34.68325
1502764,15.01,15.04,27.08,10.89,31.98,38.26985
1502772,14.84,12.09,33.36,19.69,20.02,38.31875
1502806,16.51,44.47,23.85,6.45,8.72,31.60735
1502855,10.13,41.97,30.56,4.88,12.47,33.9648
1502905,17.38,34.72,21.43,9.27,17.19,33.54185
1502939,4.15,14.24,40.15,15.03,26.43,41.22845
1502954,12.8,21.98,19.8,13.29,32.12,37.96125
1503002,20.23,41.43,21.25,6.27,10.8,31.15085
1503044,11.06,23.32,37.73,14.33,13.56,36.99925
1503077,11.08,34.98,28.7,10.6,14.64,35.1524
1503093,6.35,12.61,39.71,20.14,21.18,40.7152
1503101,23.69,40.41,19.04,5.43,11.43,30.34975
1503200,6.68,33.46,41.36,4.9,13.61,36.288
1503309,16.86,35.64,20.88,11.23,15.39,33.51585
1503408,12.59,34.14,34.34,7.79,11.14,34.48415
1503457,24.07,22.2,41.07,3.74,8.93,32.728
