"city_code","metro_class"
5300108,"metro"
5200100,"metro"
5200175,"metro"
5200258,"metro"
5200308,"metro"
5200605,"metro"
5200803,"metro"
5203203,"metro"
5204003,"metro"
5205307,"metro"
5205497,"metro"
5205513,"metro"
5205802,"metro"
5206206,"metro"
5207907,"metro"
5208004,"metro"
5208608,"metro"
5212501,"metro"
5213053,"metro"
5214606,"metro"
5215231,"metro"
5215603,"metro"
5217302,"metro"
5217609,"metro"
5219753,"metro"
5220009,"metro"
5220686,"metro"
5221858,"metro"
5222203,"metro"
5222302,"metro"
5200050,"metro"
5201405,"metro"
5201801,"metro"
5203302,"metro"
5203559,"metro"
5203609,"metro"
5204557,"metro"
5205208,"metro"
5208400,"metro"
5208707,"metro"
5208806,"metro"
5209200,"metro"
5209705,"metro"
5210000,"metro"
5214507,"metro"
5215009,"metro"
5219100,"metro"
5219738,"metro"
5220454,"metro"
5221197,"metro"
5221403,"metro"
5101605,"metro"
5104906,"metro"
5105903,"metro"
5106208,"metro"
5106455,"metro"
5106505,"metro"
5107701,"metro"
5100102,"metro"
5103007,"metro"
5103403,"metro"
5106109,"metro"
5107800,"metro"
5108402,"metro"
2701100,"metro"
2701357,"metro"
2702108,"metro"
2702801,"metro"
2703007,"metro"
2703502,"metro"
2703809,"metro"
2703908,"metro"
2705101,"metro"
2705507,"metro"
2705606,"metro"
2707305,"metro"
2708105,"metro"
2708303,"metro"
2708501,"metro"
2709301,"metro"
2702306,"metro"
2708600,"metro"
2700508,"metro"
2700607,"metro"
2702207,"metro"
2704302,"metro"
2704708,"metro"
2705200,"metro"
2706448,"metro"
2706901,"metro"
2707701,"metro"
2707909,"metro"
2708907,"metro"
2701209,"metro"
2704401,"metro"
2705309,"metro"
2700300,"metro"
2700805,"metro"
2703106,"metro"
2701506,"metro"
2702009,"metro"
2702355,"metro"
2702553,"metro"
2702603,"metro"
2702900,"metro"
2703700,"metro"
2704104,"metro"
2705903,"metro"
2706307,"metro"
2708204,"metro"
2708808,"metro"
2709103,"metro"
2709004,"metro"
2709202,"metro"
2701803,"metro"
2702504,"metro"
2704609,"metro"
2705705,"metro"
2706000,"metro"
2706109,"metro"
2707206,"metro"
2708006,"metro"
2708956,"metro"
2702702,"metro"
2703205,"metro"
2706703,"metro"
2706802,"metro"
2707503,"metro"
2700102,"metro"
2702405,"metro"
2703304,"metro"
2705002,"metro"
2705804,"metro"
2706422,"metro"
2707107,"metro"
2700409,"metro"
2701001,"metro"
2701308,"metro"
2701704,"metro"
2701902,"metro"
2704906,"metro"
2704807,"metro"
2706604,"metro"
2707008,"metro"
2709400,"metro"
2907202,"metro"
2909901,"metro"
