"city_code","state"
1100015,"RO"
1100023,"RO"
1100031,"RO"
1100049,"RO"
1100056,"RO"
1100064,"RO"
1100072,"RO"
1100080,"RO"
1100098,"RO"
1100106,"RO"
1100114,"RO"
1100122,"RO"
1100130,"RO"
1100148,"RO"
1100155,"RO"
1100189,"RO"
1100205,"RO"
1100254,"RO"
1100262,"RO"
1100288,"RO"
1100296,"RO"
1100304,"RO"
1100320,"RO"
1100338,"RO"
1100346,"RO"
1100379,"RO"
1100403,"RO"
1100452,"RO"
1100502,"RO"
1100601,"RO"
1100700,"RO"
1100809,"RO"
1100908,"RO"
1100924,"RO"
1100940,"RO"
1101005,"RO"
1101104,"RO"
1101203,"RO"
1101302,"RO"
1101401,"RO"
1101435,"RO"
1101450,"RO"
1101468,"RO"
1101476,"RO"
1101484,"RO"
1101492,"RO"
1101500,"RO"
1101559,"RO"
1101609,"RO"
1101708,"RO"
1101757,"RO"
1101807,"RO"
1200013,"AC"
1200054,"AC"
1200104,"AC"
1200138,"AC"
1200179,"AC"
1200203,"AC"
1200252,"AC"
1200302,"AC"
1200328,"AC"
1200336,"AC"
1200344,"AC"
1200351,"AC"
1200385,"AC"
1200393,"AC"
1200401,"AC"
1200427,"AC"
1200435,"AC"
1200450,"AC"
1200500,"AC"
1200609,"AC"
1200708,"AC"
1200807,"AC"
1300029,"AM"
1300060,"AM"
1300086,"AM"
1300102,"AM"
1300144,"AM"
1300201,"AM"
1300300,"AM"
1300409,"AM"
1300508,"AM"
1300607,"AM"
1300631,"AM"
1300680,"AM"
1300706,"AM"
1300805,"AM"
1300839,"AM"
1300904,"AM"
1301001,"AM"
1301100,"AM"
1301159,"AM"
1301209,"AM"
1301308,"AM"
1301407,"AM"
1301506,"AM"
1301605,"AM"
1301654,"AM"
1301704,"AM"
1301803,"AM"
1301852,"AM"
1301902,"AM"
1301951,"AM"
1302009,"AM"
1302108,"AM"
1302207,"AM"
1302306,"AM"
1302405,"AM"
1302504,"AM"
1302553,"AM"
1302603,"AM"
1302702,"AM"
1302801,"AM"
1302900,"AM"
1303007,"AM"
1303106,"AM"
1303205,"AM"
1303304,"AM"
1303403,"AM"
1303502,"AM"
1303536,"AM"
1303569,"AM"
1303601,"AM"
1303700,"AM"
1303809,"AM"
1303908,"AM"
1303957,"AM"
1304005,"AM"
1304062,"AM"
1304104,"AM"
1304203,"AM"
1304237,"AM"
1304260,"AM"
1304302,"AM"
1304401,"AM"
1400027,"RR"
1400050,"RR"
1400100,"RR"
1400159,"RR"
1400175,"RR"
1400209,"RR"
1400233,"RR"
1400282,"RR"
1400308,"RR"
1400407,"RR"
1400456,"RR"
1400472,"RR"
1400506,"RR"
1400605,"RR"
1400704,"RR"
1500107,"PA"
1500131,"PA"
1500206,"PA"
1500305,"PA"
1500347,"PA"
1500404,"PA"
1500503,"PA"
1500602,"PA"
1500701,"PA"
1500800,"PA"
1500859,"PA"
1500909,"PA"
1500958,"PA"
1501006,"PA"
1501105,"PA"
1501204,"PA"
1501253,"PA"
1501303,"PA"
1501402,"PA"
1501451,"PA"
1501501,"PA"
1501576,"PA"
1501600,"PA"
1501709,"PA"
1501725,"PA"
1501758,"PA"
1501782,"PA"
1501808,"PA"
1501907,"PA"
1501956,"PA"
1502004,"PA"
1502103,"PA"
1502152,"PA"
1502202,"PA"
1502301,"PA"
1502400,"PA"
1502509,"PA"
1502608,"PA"
1502707,"PA"
1502756,"PA"
1502764,"PA"
1502772,"PA"
1502806,"PA"
1502855,"PA"
1502905,"PA"
1502939,"PA"
1502954,"PA"
1503002,"PA"
1503044,"PA"
1503077,"PA"
1503093,"PA"
1503101,"PA"
1503200,"PA"
1503309,"PA"
1503408,"PA"
1503457,"PA"
1503507,"PA"
1503606,"PA"
1503705,"PA"
1503754,"PA"
1503804,"PA"
1503903,"PA"
1504000,"PA"
1504059,"PA"
1504109,"PA"
1504208,"PA"
1504307,"PA"
1504406,"PA"
1504422,"PA"
1504455,"PA"
1504505,"PA"
1504604,"PA"
1504703,"PA"
1504752,"PA"
1504802,"PA"
1504901,"PA"
1504950,"PA"
1504976,"PA"
1505007,"PA"
1505031,"PA"
1505064,"PA"
1505106,"PA"
1505205,"PA"
1505304,"PA"
1505403,"PA"
1505437,"PA"
1505486,"PA"
1505494,"PA"
1505502,"PA"
1505536,"PA"
1505551,"PA"
1505601,"PA"
1505635,"PA"
1505650,"PA"
1505700,"PA"
1505809,"PA"
1505908,"PA"
1506005,"PA"
1506104,"PA"
1506112,"PA"
1506138,"PA"
1506161,"PA"
1506187,"PA"
1506195,"PA"
1506203,"PA"
1506302,"PA"
1506351,"PA"
1506401,"PA"
1506500,"PA"
1506559,"PA"
1506583,"PA"
1506609,"PA"
1506708,"PA"
1506807,"PA"
1506906,"PA"
1507003,"PA"
1507102,"PA"
1507151,"PA"
1507201,"PA"
1507300,"PA"
1507409,"PA"
1507458,"PA"
1507466,"PA"
1507474,"PA"
1507508,"PA"
1507607,"PA"
1507706,"PA"
1507755,"PA"
1507805,"PA"
1507904,"PA"
1507953,"PA"
1507961,"PA"
1507979,"PA"
1508001,"PA"
1508035,"PA"
1508050,"PA"
1508084,"PA"
1508100,"PA"
1508126,"PA"
1508159,"PA"
1508209,"PA"
1508308,"PA"
1508357,"PA"
1508407,"PA"
1600055,"AP"
1600105,"AP"
1600154,"AP"
1600204,"AP"
1600212,"AP"
1600238,"AP"
1600253,"AP"
1600279,"AP"
1600303,"AP"
1600402,"AP"
1600501,"AP"
1600535,"AP"
1600550,"AP"
1600600,"AP"
1600709,"AP"
1600808,"AP"
1700251,"TO"
1700301,"TO"
1700350,"TO"
1700400,"TO"
1700707,"TO"
1701002,"TO"
1701051,"TO"
1701101,"TO"
1701309,"TO"
1701903,"TO"
1702000,"TO"
1702109,"TO"
1702158,"TO"
1702208,"TO"
1702307,"TO"
1702406,"TO"
1702554,"TO"
1702703,"TO"
1702901,"TO"
1703008,"TO"
1703057,"TO"
1703073,"TO"
1703107,"TO"
1703206,"TO"
1703305,"TO"
1703602,"TO"
1703701,"TO"
1703800,"TO"
1703826,"TO"
1703842,"TO"
1703867,"TO"
1703883,"TO"
1703891,"TO"
1703909,"TO"
1704105,"TO"
1704600,"TO"
1705102,"TO"
1705508,"TO"
1705557,"TO"
1705607,"TO"
1706001,"TO"
1706100,"TO"
1706258,"TO"
1706506,"TO"
1707009,"TO"
1707108,"TO"
1707207,"TO"
1707306,"TO"
1707405,"TO"
1707553,"TO"
1707652,"TO"
1707702,"TO"
1708205,"TO"
1708254,"TO"
1708304,"TO"
1709005,"TO"
1709302,"TO"
1709500,"TO"
1709807,"TO"
1710508,"TO"
1710706,"TO"
1710904,"TO"
1711100,"TO"
1711506,"TO"
1711803,"TO"
1711902,"TO"
1711951,"TO"
1712009,"TO"
1712157,"TO"
1712405,"TO"
1712454,"TO"
1712504,"TO"
1712702,"TO"
1712801,"TO"
1713205,"TO"
1713304,"TO"
1713601,"TO"
1713700,"TO"
1713809,"TO"
1713957,"TO"
1714203,"TO"
1714302,"TO"
1714880,"TO"
1715002,"TO"
1715101,"TO"
1715150,"TO"
1715259,"TO"
1715507,"TO"
1715705,"TO"
1715754,"TO"
1716109,"TO"
1716208,"TO"
1716307,"TO"
1716505,"TO"
1716604,"TO"
1716653,"TO"
1716703,"TO"
1717008,"TO"
1717206,"TO"
1717503,"TO"
1717800,"TO"
1717909,"TO"
1718006,"TO"
1718204,"TO"
1718303,"TO"
1718402,"TO"
1718451,"TO"
1718501,"TO"
1718550,"TO"
1718659,"TO"
1718709,"TO"
1718758,"TO"
1718808,"TO"
1718840,"TO"
1718865,"TO"
1718881,"TO"
1718899,"TO"
1718907,"TO"
1719004,"TO"
1720002,"TO"
1720101,"TO"
1720150,"TO"
1720200,"TO"
1720259,"TO"
1720309,"TO"
1720499,"TO"
1720655,"TO"
1720804,"TO"
1720853,"TO"
1720903,"TO"
1720937,"TO"
1720978,"TO"
1721000,"TO"
1721109,"TO"
1721208,"TO"
1721257,"TO"
1721307,"TO"
1722081,"TO"
1722107,"TO"
2100055,"MA"
2100105,"MA"
2100154,"MA"
2100204,"MA"
2100303,"MA"
2100402,"MA"
2100436,"MA"
2100477,"MA"
2100501,"MA"
2100550,"MA"
2100600,"MA"
2100709,"MA"
2100808,"MA"
2100832,"MA"
2100873,"MA"
2100907,"MA"
2100956,"MA"
2101004,"MA"
2101103,"MA"
2101202,"MA"
2101251,"MA"
2101301,"MA"
2101350,"MA"
2101400,"MA"
2101509,"MA"
2101608,"MA"
2101707,"MA"
2101731,"MA"
2101772,"MA"
2101806,"MA"
2101905,"MA"
2101939,"MA"
2101970,"MA"
2102002,"MA"
2102036,"MA"
2102077,"MA"
2102101,"MA"
2102150,"MA"
2102200,"MA"
2102309,"MA"
2102325,"MA"
2102358,"MA"
2102374,"MA"
2102408,"MA"
2102507,"MA"
2102556,"MA"
2102606,"MA"
2102705,"MA"
2102754,"MA"
2102804,"MA"
2102903,"MA"
2103000,"MA"
2103109,"MA"
2103125,"MA"
2103158,"MA"
2103174,"MA"
2103208,"MA"
2103257,"MA"
2103307,"MA"
2103406,"MA"
2103505,"MA"
2103554,"MA"
2103604,"MA"
2103703,"MA"
2103752,"MA"
2103802,"MA"
2103901,"MA"
2104008,"MA"
2104057,"MA"
2104073,"MA"
2104081,"MA"
2104099,"MA"
2104107,"MA"
2104206,"MA"
2104305,"MA"
2104404,"MA"
2104503,"MA"
2104552,"MA"
2104602,"MA"
2104628,"MA"
2104651,"MA"
2104677,"MA"
2104701,"MA"
2104800,"MA"
2104909,"MA"
2105005,"MA"
2105104,"MA"
2105153,"MA"
2105203,"MA"
2105302,"MA"
2105351,"MA"
2105401,"MA"
2105427,"MA"
2105450,"MA"
2105476,"MA"
2105500,"MA"
2105609,"MA"
2105658,"MA"
2105708,"MA"
2105807,"MA"
2105906,"MA"
2105922,"MA"
2105948,"MA"
2105963,"MA"
2105989,"MA"
2106003,"MA"
2106102,"MA"
2106201,"MA"
2106300,"MA"
2106326,"MA"
2106359,"MA"
2106375,"MA"
2106409,"MA"
2106508,"MA"
2106607,"MA"
2106631,"MA"
2106672,"MA"
2106706,"MA"
2106755,"MA"
2106805,"MA"
2106904,"MA"
2107001,"MA"
2107100,"MA"
2107209,"MA"
2107258,"MA"
2107308,"MA"
2107357,"MA"
2107407,"MA"
2107456,"MA"
2107506,"MA"
2107605,"MA"
2107704,"MA"
2107803,"MA"
2107902,"MA"
2108009,"MA"
2108058,"MA"
2108108,"MA"
2108207,"MA"
2108256,"MA"
2108306,"MA"
2108405,"MA"
2108454,"MA"
2108504,"MA"
2108603,"MA"
2108702,"MA"
2108801,"MA"
2108900,"MA"
2109007,"MA"
2109056,"MA"
2109106,"MA"
2109205,"MA"
2109239,"MA"
2109270,"MA"
2109304,"MA"
2109403,"MA"
2109452,"MA"
2109502,"MA"
2109551,"MA"
2109601,"MA"
2109700,"MA"
2109759,"MA"
2109809,"MA"
2109908,"MA"
2110005,"MA"
2110039,"MA"
2110104,"MA"
2110203,"MA"
2110237,"MA"
2110278,"MA"
2110302,"MA"
2110401,"MA"
2110500,"MA"
2110609,"MA"
2110658,"MA"
2110708,"MA"
2110807,"MA"
2110856,"MA"
2110906,"MA"
2111003,"MA"
2111029,"MA"
2111052,"MA"
2111078,"MA"
2111102,"MA"
2111201,"MA"
2111250,"MA"
2111300,"MA"
2111409,"MA"
2111508,"MA"
2111532,"MA"
2111573,"MA"
2111607,"MA"
2111631,"MA"
2111672,"MA"
2111706,"MA"
2111722,"MA"
2111748,"MA"
2111763,"MA"
2111789,"MA"
2111805,"MA"
2111904,"MA"
2111953,"MA"
2112001,"MA"
2112100,"MA"
2112209,"MA"
2112233,"MA"
2112274,"MA"
2112308,"MA"
2112407,"MA"
2112456,"MA"
2112506,"MA"
2112605,"MA"
2112704,"MA"
2112803,"MA"
2112852,"MA"
2112902,"MA"
2113009,"MA"
2114007,"MA"
2200053,"PI"
2200103,"PI"
2200202,"PI"
2200251,"PI"
2200277,"PI"
2200301,"PI"
2200400,"PI"
2200459,"PI"
2200509,"PI"
2200608,"PI"
2200707,"PI"
2200806,"PI"
2200905,"PI"
2200954,"PI"
2201002,"PI"
2201051,"PI"
2201101,"PI"
2201150,"PI"
2201176,"PI"
2201200,"PI"
2201309,"PI"
2201408,"PI"
2201507,"PI"
2201556,"PI"
2201572,"PI"
2201606,"PI"
2201705,"PI"
2201739,"PI"
2201770,"PI"
2201804,"PI"
2201903,"PI"
2201919,"PI"
2201929,"PI"
2201945,"PI"
2201960,"PI"
2201988,"PI"
2202000,"PI"
2202026,"PI"
2202059,"PI"
2202075,"PI"
2202083,"PI"
2202091,"PI"
2202109,"PI"
2202117,"PI"
2202133,"PI"
2202174,"PI"
2202208,"PI"
2202251,"PI"
2202307,"PI"
2202406,"PI"
2202455,"PI"
