"city_UF","votes_pct.JB"
"BUJARI (ac)",0.785882352941176
"CAPIXABA (ac)",0.78197149166834
"PORTO ACRE (ac)",0.776414377239657
"SANTA ROSA DO PURUS (ac)",0.464873765093304
"MARECHAL THAUMATURGO (ac)",0.490298059611922
"BRASILÉIA (ac)",0.730849903515396
"PORTO WALTER (ac)",0.610950080515298
"CRUZEIRO DO SUL (ac)",0.799358398562813
"RODRIGUES ALVES (ac)",0.738981998758535
"MÂNCIO LIMA (ac)",0.691228998544781
"JORDÃO (ac)",0.492831541218638
"EPITACIOLÂNDIA (ac)",0.756197352587244
"ACRELÂNDIA (ac)",0.79891724671307
"FEIJÓ (ac)",0.454986149584488
"RIO BRANCO (ac)",0.827736256609537
"SENA MADUREIRA (ac)",0.76456033498287
"TARAUACÁ (ac)",0.611549524301202
"XAPURI (ac)",0.591787729619402
"PLÁCIDO DE CASTRO (ac)",0.780473231357553
"SENADOR GUIOMARD (ac)",0.806913930230727
"MANOEL URBANO (ac)",0.58382541720154
"ASSIS BRASIL (ac)",0.58427247683446
"PARIPUEIRA (al)",0.529026495980947
"ÁGUA BRANCA (al)",0.0785907859078591
"PARICONHA (al)",0.0608031214436677
"ANADIA (al)",0.216774357025212
"ESTRELA DE ALAGOAS (al)",0.111474980351061
"ARAPIRACA (al)",0.460144582897365
"JEQUIÁ DA PRAIA (al)",0.452830188679245
"ATALAIA (al)",0.317348947554389
"CAMPESTRE (al)",0.223120694818808
"BARRA DE SANTO ANTÔNIO (al)",0.370138178096213
"BARRA DE SÃO MIGUEL (al)",0.505689001264222
"BATALHA (al)",0.24864994599784
"BELÉM (al)",0.214084507042254
"BELO MONTE (al)",0.142355008787346
"BOCA DA MATA (al)",0.367292225201072
"BRANQUINHA (al)",0.235964198535395
"CACIMBINHAS (al)",0.212625212625213
"CAJUEIRO (al)",0.29362267493357
"CAMPO ALEGRE (al)",0.268886774500476
"CAMPO GRANDE (al)",0.143734015345269
"CANAPI (al)",0.106183268802065
"CAPELA (al)",0.382933206560494
"CARNEIROS (al)",0.123755656108597
"CHÃ PRETA (al)",0.208355367530407
"COITÉ DO NÓIA (al)",0.161365918982256
"COLÔNIA LEOPOLDINA (al)",0.38934471064435
"COQUEIRO SECO (al)",0.385553185004572
"CORURIPE (al)",0.554601276237107
"DELMIRO GOUVEIA (al)",0.151100557816976
"DOIS RIACHOS (al)",0.194343727338651
"FEIRA GRANDE (al)",0.170755017521504
"FELIZ DESERTO (al)",0.327160493827161
"FLEXEIRAS (al)",0.47606483226536
"GIRAU DO PONCIANO (al)",0.128207940337793
"IBATEGUARA (al)",0.336198662846227
"IGACI (al)",0.146095911466339
"IGREJA NOVA (al)",0.20503505955901
"INHAPI (al)",0.114463840399002
"JACARÉ DOS HOMENS (al)",0.127086383601757
"JACUÍPE (al)",0.207186322804984
"JAPARATINGA (al)",0.487090367428004
"JARAMATAIA (al)",0.141370869033048
"JOAQUIM GOMES (al)",0.235255281690141
"JUNDIÁ (al)",0.355953372189842
"JUNQUEIRO (al)",0.286838340486409
"LAGOA DA CANOA (al)",0.218366764901607
"LIMOEIRO DE ANADIA (al)",0.191518689694316
"MACEIÓ (al)",0.616345302565164
"MAJOR ISIDORO (al)",0.246707456185834
"MARAGOGI (al)",0.543600203977562
"MARAVILHA (al)",0.157251019219569
"MARECHAL DEODORO (al)",0.566626213592233
"MARIBONDO (al)",0.301765409934171
"MAR VERMELHO (al)",0.239472564866014
"MATA GRANDE (al)",0.138530869761154
"MATRIZ DE CAMARAGIBE (al)",0.486189216010586
"MESSIAS (al)",0.383397859257572
"MINADOR DO NEGRÃO (al)",0.184803001876173
"MONTEIRÓPOLIS (al)",0.15022245485475
"MURICI (al)",0.365288070762611
"NOVO LINO (al)",0.418086500655308
"OLHO D'ÁGUA DAS FLORES (al)",0.301787283914445
"OLHO D'ÁGUA DO CASADO (al)",0.0662788281736962
"OLHO D'ÁGUA GRANDE (al)",0.12218229336818
"OLIVENÇA (al)",0.163298565840939
"OURO BRANCO (al)",0.138368983957219
"PALESTINA (al)",0.157410812798823
"PALMEIRA DOS ÍNDIOS (al)",0.32372356583713
"PÃO DE AÇÚCAR (al)",0.197392124903491
"PASSO DE CAMARAGIBE (al)",0.343915343915344
"PAULO JACINTO (al)",0.274658573596358
"PENEDO (al)",0.357856631094687
"PIAÇABUÇU (al)",0.27531041069723
"PILAR (al)",0.46765301530153
"PINDOBA (al)",0.281899109792285
"PIRANHAS (al)",0.0999840025595905
"POÇO DAS TRINCHEIRAS (al)",0.0912275580207269
"PORTO CALVO (al)",0.498659068052296
"PORTO DE PEDRAS (al)",0.415555555555556
"PORTO REAL DO COLÉGIO (al)",0.164009324009324
"QUEBRANGULO (al)",0.220456649182351
"RIO LARGO (al)",0.497207129436856
"ROTEIRO (al)",0.335464231354642
"SANTA LUZIA DO NORTE (al)",0.387348969438522
"SANTANA DO IPANEMA (al)",0.211645477989413
"SANTANA DO MUNDAÚ (al)",0.189406924922866
"SÃO BRÁS (al)",0.220743345052737
"SÃO JOSÉ DA LAJE (al)",0.368845985081176
"SÃO JOSÉ DA TAPERA (al)",0.12943011057556
"SÃO LUÍS DO QUITUNDE (al)",0.419216777230901
"SÃO MIGUEL DOS CAMPOS (al)",0.511310872553026
"SÃO MIGUEL DOS MILAGRES (al)",0.491249392318911
"SÃO SEBASTIÃO (al)",0.204161781946073
"SATUBA (al)",0.510399334442596
"TANQUE D'ARCA (al)",0.144371240332283
"TAQUARANA (al)",0.212930202637504
"TRAIPU (al)",0.135052838975461
"UNIÃO DOS PALMARES (al)",0.33286465133407
