"city_code","pop.2011","pop.2012","pop.2013","pop.2014","pop.2015","pop.2016","pop.2017","pop.2018","pop.2019","pop.2020","pop.growth2012_20"
1100015,24228,24069,25728,25652,25578,25506,25437,23167,22945,22728,-0.00714026889232189
1100023,91570,92747,101269,102860,104401,105896,107345,106168,107863,109523,0.0209998600529397
1100031,6221,6132,6495,6424,6355,6289,6224,5438,5312,5188,-0.0206797660467269
1100049,78959,79330,85863,86556,87226,87877,88507,84813,85359,85893,0.00998526943741385
1100056,16939,16852,18041,18013,17986,17959,17934,16444,16323,16204,-0.00488941007553967
1100064,18338,18093,19190,19001,18817,18639,18467,16227,15882,15544,-0.0188022908882938
1100072,8655,8530,9036,8938,8842,8749,8659,7567,7391,7220,-0.0206261117888118
1100080,14023,14355,15853,16258,16651,17031,17400,17855,18331,18798,0.0342810223738368
1100098,28963,29189,31699,32047,32385,32712,33030,32047,32374,32695,0.014279775039761
1100106,41934,42202,45761,46203,46632,47048,47451,45783,46174,46556,0.0123491633933894
1100114,51883,51765,55597,55669,55738,55806,55871,51933,51775,51620,-0.000350569901957587
1100122,117363,118092,128026,129242,130419,131560,132667,127907,128969,130009,0.0120899619688393
1100130,31780,32403,35633,36412,37167,37899,38609,39097,39991,40867,0.0294338439356732
1100148,19883,19891,21427,21511,21592,21670,21747,20459,20474,20489,0.0037094616661939
1100155,37702,37482,40099,40010,39924,39840,39759,36340,36035,35737,-0.00594156008907276
1100189,33981,34135,36939,37230,37512,37786,38051,36434,36660,36881,0.00971857943255894
1100205,435732,442701,484992,494013,502748,511219,519436,519531,529544,539354,0.0249918804695277
1100254,22009,21709,23017,22783,22557,22337,22124,19409,18986,18571,-0.0193265133840047
1100262,3346,3374,3666,3709,3750,3790,3829,3723,3764,3804,0.0151072481055006
1100288,50899,51142,55357,55807,56242,56664,57074,54702,55058,55407,0.010062775383437
1100296,8678,8476,8887,8706,8532,8362,8198,6781,6495,6216,-0.0380222941889777
1100304,77937,79616,87727,89797,91801,93745,95630,97448,99854,102211,0.0317207385908642
