"city_code","pop.0_4","pop.5_9","pop.10_14","pop.15_19","pop.20_24","pop.25_29","pop.30_39","pop.40_49","pop.50_59","pop.60_69","pop.70plus"
1100015,7.59,8.64,9.84,10.61,9.02,8.58,15.01,13.45,8.47,5.03,3.76
1100023,8.13,9.17,10.24,10.01,9.94,9.36,16.17,12.68,7.63,4.07,2.6
1100031,8.16,8.03,9.57,9.43,7.1,8.27,14.56,13.97,10.83,5.96,4.13
1100049,7.54,7.99,9.51,10,9.87,8.93,16.14,13.34,8.58,4.62,3.48
1100056,7.15,7.97,9.6,10.09,9.16,8.28,15.09,14.08,8.6,5.79,4.18
1100064,7.54,7.64,8.97,9.61,8.82,8.76,15.32,13.05,9.56,6.18,4.55
1100072,6.98,8.55,10.35,10.8,8.38,8.38,16,13.31,8.86,4.87,3.52
1100080,10.07,11.16,12.24,10.26,8.44,9.19,14.97,10.35,6.97,3.87,2.5
1100098,8.2,8.62,9.92,9.58,9.35,9.08,16.28,12.48,8.44,4.8,3.25
1100106,10.02,10.71,11.05,10.27,9.09,8.54,15,11.29,6.75,4.16,3.11
1100114,8,8.91,9.86,9.82,9.66,9.76,16.12,12.02,7.86,4.54,3.44
1100122,7.94,8.39,9.2,9.83,9.85,9.57,16.11,13.08,8.47,4.39,3.19
1100130,9.23,10.07,10.88,10.1,8.7,8.84,15.29,11.76,8.36,4.34,2.43
1100148,7.2,8.67,10.43,10.94,8.64,8.58,16.19,12.14,8.54,5.26,3.41
1100155,7.5,8.37,9.61,9.83,9.63,9.31,15.31,13.26,8.27,5.04,3.87
1100189,7.7,8.56,9.67,9.98,10.1,9.25,15.58,13.09,8.36,4.58,3.13
1100205,8.24,8.49,9.63,9.76,10.81,10.35,16.65,12.55,7.84,3.5,2.19
1100254,7.17,8.33,9.36,10.07,8.43,8.38,14.54,13.36,9.98,5.82,4.56
1100262,8.34,9.59,10.43,8.69,7.81,8.84,14.87,13.72,8.41,5.31,3.99
1100288,7.35,8.42,9.3,10,10,9.36,16.25,12.8,8.15,4.69,3.68
1100296,7.27,7.66,9.53,10.17,8.68,8.14,15.4,14.27,9.18,5.39,4.31
1100304,8.11,8.66,9.46,9.55,10.04,9.72,16.45,13.07,7.88,4.2,2.87
1100320,8.46,9.57,10.89,10.67,9.01,8.94,15.65,12.01,7.77,4.47,2.57
1100338,9.98,11.17,11.42,9.71,8.56,8.98,15.71,11.43,7.23,3.73,2.1
1100346,7.77,8.81,10.13,10.55,8.38,8.28,14.89,12.9,9.35,5.13,3.81
1100379,8.57,10.08,10.67,10.93,8.4,8.12,15.74,12.13,7.79,4.85,2.71
1100403,8.23,10.04,11.38,9.83,8.21,8.06,15.92,12.39,8.15,4.84,2.95
1100452,9.09,10.3,10.77,10.16,9.16,9.47,16.15,11.34,7.44,3.99,2.12
1100502,7.5,8.24,10.05,10.63,7.96,7.54,15.78,13.33,9.26,5.83,3.88
1100601,8.29,9.87,10.7,9.54,8.12,8.35,15.5,12.01,8.75,5.23,3.63
1100700,9.59,10.79,11.06,10.01,8.26,8.85,15.22,12.14,8.42,3.89,1.77
1100809,9.62,10.48,11.1,9.9,9.02,9.03,14.82,11.25,7.93,4.3,2.54
1100908,6.72,8.42,10.52,9.96,7.58,7.66,15.41,13.31,8.98,7.3,4.14
1100924,9.37,9.93,10.9,10.2,8.79,9.55,16.38,12.07,7.07,3.82,1.91
1100940,9.94,11.16,11.27,10.34,8.39,9.62,15.89,11.33,7.17,3.44,1.45
1101005,7.49,9.68,10.88,10.28,8.62,8.21,14.62,12.65,8.57,5.31,3.68
1101104,9.73,9.88,11.65,10.41,7.93,7.8,14.84,11.5,8.6,4.94,2.73
1101203,8.39,9.2,10.9,10.91,9.07,7.39,15.61,12.27,7.86,4.93,3.48
1101302,7.52,9.9,10.64,10.3,8.47,8.53,15.26,11.39,8.55,4.99,4.46
1101401,8.64,10.32,11.42,9.86,7.97,8.64,15.24,11.61,8.23,5,3.07
1101435,7.84,9.04,11.18,11.77,8.14,8.09,15.49,12.04,8.3,4.88,3.22
1101450,9.27,9.52,10.33,10.58,9.23,8.84,14.35,12.79,8,4.62,2.48
1101468,9.87,10.11,11.02,9.2,7.99,7.26,16.2,12.31,7.9,5.44,2.7
1101476,6.63,8.88,11.66,9.02,7.6,8.12,15.01,13.48,9.48,5.68,4.43
1101484,6.76,8.26,9.75,9.37,7.49,8.36,15.85,13.41,10.05,6.35,4.34
1101492,9.22,10.01,11.24,10.38,9.09,8.67,15.95,11.44,7.48,4.18,2.33
1101500,7.86,10.24,11.23,10.97,8.71,8.18,15.34,12.33,8.31,3.94,2.89
1101559,7.21,8.12,10.52,10.29,8.88,8.29,14.18,13.58,7.96,6.2,4.78
1101609,8.09,9.52,10.95,10.06,7.53,8.49,15.53,12.27,9.06,5.19,3.3
1101708,7.77,8.89,10.12,10.19,9.1,8.55,15.01,11.62,9.67,5.72,3.36
1101757,8.66,10,10.89,10.03,7.92,8.48,14.77,12.11,9.14,5.13,2.88
1101807,7.37,8.51,10.79,10.57,8.21,8.42,15.1,13.06,9.17,5.35,3.44
1200013,10.23,11.26,12.91,10.46,8.06,8.33,14.36,10.59,7.16,4.25,2.39
1200054,12.34,11.92,11.45,10.7,9.17,8.91,13.77,9.01,6.18,3.51,3.04
1200104,9.62,10.74,11.57,10.57,9.38,8.33,15.01,10.58,6.71,4.19,3.31
1200138,10.11,11.51,12.77,9.85,8.46,8.12,14.44,9.57,7.74,4.8,2.61
1200179,10.12,12.34,13.89,10.13,7.43,7.27,13.83,10.76,7.17,4.48,2.56
1200203,11.27,11.95,12.86,11.09,9.76,9.27,13.81,8.23,5.58,3.55,2.63
1200252,10.07,10.54,11.36,10.62,9.22,8.88,14.72,10.74,6.53,4.21,3.12
