"city_code","pop.bathroom.access","pop.bathroom.access.sewage","pop.bathroom.access.septicTank","pop.bathroom.access.other","pop.bathroom.noaccess"
1100015,99.39,0.4,1.86,97.14,0.61
1100023,99.61,1.47,9.66,88.48,0.39
1100031,100,0.23,0.56,99.21,0
1100049,99.67,50.09,15.55,34.02,0.33
1100056,99.68,0.11,20.08,79.48,0.32
1100064,99.59,0.69,4,94.9,0.41
1100072,99.76,0.12,6.15,93.49,0.24
1100080,98.48,0.15,8.33,89.99,1.52
1100098,99.42,0.54,14.36,84.52,0.58
1100106,98.64,9.42,15.27,73.95,1.36
1100114,99.47,1.16,3.12,95.19,0.53
1100122,99.56,4.14,18,77.42,0.44
1100130,99.43,0.26,2.89,96.27,0.57
1100148,99.58,0.27,6.29,93.02,0.42
1100155,99.75,1.4,7.81,90.54,0.25
1100189,99.75,9.21,30.61,59.93,0.25
1100205,99.21,10.65,35.29,53.27,0.79
1100254,99.52,1.25,1.2,97.06,0.48
1100262,99.69,0,0.62,99.07,0.31
1100288,99.51,0.79,17.23,81.48,0.49
1100296,99.28,1.64,0.92,96.73,0.72
1100304,99.95,1.33,11.67,86.95,0.05
1100320,99.57,0.51,2.58,96.48,0.43
1100338,99.12,0.1,9.14,89.88,0.88
1100346,99.52,55.09,3.23,41.2,0.48
1100379,99.63,0.46,0.37,98.81,0.37
1100403,99.71,0.39,25.17,74.15,0.29
1100452,99.46,0.08,2.32,97.06,0.54
1100502,99.81,0.19,1.14,98.48,0.19
1100601,99.19,0.16,45.38,53.65,0.81
1100700,98.71,0.6,0.6,97.51,1.29
1100809,99,5.34,7.08,86.58,1
1100908,100,0,3.31,96.69,0
1100924,99.81,0.67,0.86,98.29,0.19
1100940,98.11,0.13,10.36,87.63,1.89
1101005,99.6,0.93,53.27,45.39,0.4
1101104,98.5,0.07,0.59,97.85,1.5
1101203,99.78,6.12,5.57,88.09,0.22
1101302,99.13,0,1.18,97.96,0.87
1101401,98.48,0.23,1.48,96.77,1.52
1101435,99.38,0,0.21,99.17,0.62
1101450,99.62,0,0.57,99.05,0.38
1101468,98.4,0,1.07,97.33,1.6
1101476,99.51,0.25,1.72,97.54,0.49
1101484,99.34,1.33,0.22,97.79,0.66
1101492,99.41,0,2.48,96.94,0.59
1101500,99.92,0.38,8.38,91.16,0.08
1101559,100,0.22,0.88,98.9,0
1101609,99.84,2.22,12.82,84.81,0.16
1101708,99.45,0.18,15.32,83.94,0.55
1101757,99.5,0,0.4,99.11,0.5
1101807,99.72,0,0.28,99.44,0.28
1200013,99.58,0.9,21.91,76.78,0.42
1200054,87.95,2.91,31.73,53.31,12.05
1200104,95.75,25.15,12.47,58.13,4.25
1200138,98.84,1.75,22.89,74.2,1.16
1200179,97.88,2.02,51.64,44.22,2.12
1200203,92.54,6.27,11.88,74.4,7.46
1200252,96.15,5.26,22.5,68.38,3.85
1200302,96.33,4.94,11.47,79.93,3.67
1200328,93.65,1.23,12.7,79.71,6.35
1200336,95.21,0.28,0.41,94.51,4.79
1200344,88.17,5.91,12.61,69.65,11.83
1200351,88.36,2.79,19.67,65.89,11.64
1200385,96.39,6.47,13.86,76.06,3.61
1200393,81.15,0.16,1.09,79.91,18.85
1200401,98.17,49.95,11.77,36.45,1.83
1200427,92.57,0.1,15.44,77.03,7.43
1200435,86.33,0.24,9.11,76.98,13.67
1200450,96.73,0.91,24.65,71.17,3.27
1200500,97.54,6.17,13.08,78.29,2.46
1200609,94.75,2.27,15.28,77.2,5.25
1200708,94.71,25.97,12.27,56.47,5.29
1200807,91.92,0.19,25.38,66.35,8.08
1300029,97.51,12.62,31.47,53.41,2.49
1300060,94.07,2.97,10.28,80.83,5.93
1300086,99.13,8.56,0.25,90.32,0.87
1300102,97.03,1.85,1.27,93.91,2.97
1300144,99.12,0.18,11.68,87.26,0.88
1300201,88.39,0.56,0.8,87.03,11.61
1300300,94.61,9.28,19.51,65.82,5.39
1300409,91.88,6.67,21.32,63.89,8.12
1300508,97.43,0.98,8.42,88.03,2.57
1300607,93.13,3.35,20.12,69.66,6.87
1300631,92.3,6.03,36.77,49.5,7.7
1300680,98.18,1.33,55.17,41.69,1.82
1300706,95.38,7.08,2.1,86.2,4.62
1300805,95.23,2.23,13.42,79.59,4.77
1300839,95.09,0.56,30.93,63.61,4.91
1300904,97.57,20.7,0.21,76.66,2.43
1301001,92.57,22.28,11.05,59.25,7.43
1301100,94.78,8.96,19.8,66.02,5.22
1301159,98.07,2.7,1.54,93.82,1.93
1301209,98.09,54.49,4.6,39,1.91
1301308,93.68,34.88,1.79,57.01,6.32
1301407,91.89,2.43,15.54,73.91,8.11
1301506,91.75,1.77,8.7,81.28,8.25
1301605,94.09,1.58,1.47,91.05,5.91
1301654,96.69,0.86,12.91,82.93,3.31
1301704,98.42,6.77,14.31,77.34,1.58
1301803,96.17,2.44,0.63,93.1,3.83
1301852,95.64,2.83,14.46,78.35,4.36
1301902,98.65,5.46,22.78,70.42,1.35
1301951,94.7,6.85,2.98,84.86,5.3
1302009,97.25,0.45,8.18,88.62,2.75
1302108,95.85,1.73,20.9,73.23,4.15
1302207,93.51,13.84,2.42,77.25,6.49
1302306,95.03,1.19,0.1,93.74,4.97
1302405,92.95,22.23,7.17,63.55,7.05
1302504,97.4,11.41,20.01,65.98,2.6
1302553,98.24,4.82,14.46,78.96,1.76
1302603,99.23,41.27,22.49,35.47,0.77
1302702,98.01,2.15,14,81.85,1.99
1302801,97.42,19.21,23.66,54.55,2.58
1302900,98.4,3.82,52.27,42.3,1.6
1303007,98.55,1.31,43.54,53.7,1.45
1303106,94.78,12.2,16.4,66.17,5.22
1303205,95.96,1.2,22.83,71.94,4.04
1303304,94.72,15.94,5.09,73.69,5.28
1303403,99.29,2.52,30.6,66.18,0.71
1303502,88.64,9.65,27.83,51.16,11.36
1303536,98.99,46.96,10.21,41.82,1.01
1303569,97.88,2.01,10.78,85.09,2.12
1303601,92.35,2.3,14.81,75.23,7.65
1303700,96.78,2.99,3.12,90.68,3.22
1303809,87.52,6.07,17.95,63.51,12.48
1303908,92.15,4.96,5.86,81.33,7.85
1303957,96.29,1.15,1.48,93.66,3.71
