"city_code","pop.density2010","pop.urbanDensity"
1100015,3.45,1498.72320441989
1100023,20.41,2535.26898706958
1100031,4.8,1467.01461038961
1100049,20.72,2294.10347405306
1100056,6.12,1900.26780633891
1100064,12.81,1186.3172159286
1100072,2.87,1847.98426647768
1100080,2.74,1493.92913733835
1100098,6.36,1791.28750963763
1100106,1.68,2114.33755699802
1100114,17.66,1952.98455870908
1100122,16.91,1895.89958613554
1100130,3.66,1416.01553583217
1100148,17.2,1490.23672667758
1100155,19.25,2481.05821344931
1100189,5.42,1525.52541612119
1100205,12.57,3295.5933439258
1100254,12.69,1621.90517553384
1100262,1.93,1606.64218958612
1100288,34.74,1868.56569595061
1100296,7.42,1008.2372708285
1100304,6.62,1536.77325831979
1100320,2.73,1475.13963463066
1100338,2.24,1180.4132231405
1100346,5.56,1352.02584745763
1100379,3.24,916.378341013825
1100403,6.46,792.344553644554
1100452,9.92,1993.04826807229
1100502,12.14,1283.17284132841
1100601,2.92,1552.79033130494
1100700,3.68,2261.2688172043
1100809,2.89,1832.8654204519
1100908,4,1099.68088426528
1100924,1.62,1684.85778364116
1100940,4.1,1244.11437574519
1101005,2.07,1204.08904182107
1101104,2.1,1519.43940149626
1101203,12.97,2562.47902711324
1101302,9.97,2050.5504587156
1101401,7.3,2359.35408163265
1101435,9.28,2499.06335403727
1101450,1.89,1943.62035152636
1101468,0.38,1200.38544809228
1101476,5.82,1031.33742926435
1101484,11.11,1542.79209694415
1101492,1.46,1315.60197004453
1101500,3.08,1359.10745714286
1101559,10.63,1805.29630010277
1101609,4.85,1312.8585046729
1101708,15.6,1287.3529109589
1101757,2.99,1131.18325666973
1101807,8.5,1489.31671018277
1200013,6.94,816.699226160759
1200054,1.22,1900.98944444444
1200104,5.46,2455.66198423737
1200138,2.79,1266.50202177294
1200179,5.17,3211.23753424658
1200203,8.94,2316.94923368557
1200252,9.13,2463.92443979058
1200302,1.16,2742.65311004785
1200328,1.23,1596.06683076923
1200336,2.79,1259.89343363509
1200344,0.75,2668.98332554881
1200351,1.74,4281.29427792916
