"city_code","pop.edu.kindergarten","pop.edu.pre","pop.edu.literacy","pop.edu.literacy_adults","pop.edu.elem","pop.edu.elem_adults","pop.edu.high","pop.edu.high_adults","pop.edu.undergrad","pop.edu.grad","pop.edu.master","pop.edu.doc","pop.edu.public","pop.edu.private"
1100015,0.82,7.1,10.92,0.94,49.7,3.79,12.86,4.26,9.32,0.3,0,0,90.91,9.09
1100023,1.8,6.94,3.77,1.25,52.92,4.31,13.42,3.31,11.03,1.05,0.13,0.08,80.03,19.97
1100031,3.09,9.8,5.18,0.96,50.41,3.26,16.2,3.25,7.45,0.4,0,0,94.08,5.92
1100049,2.1,7.97,5.23,1.38,44.18,2.75,16.31,3.73,14.78,1.33,0.18,0.07,79,21
1100056,2.53,7.8,5.52,0.67,49.03,4.29,16.27,4.76,8.26,0.76,0.1,0,87.42,12.58
1100064,2.38,5.14,4.01,1.66,46.66,3.71,15.93,4.24,14.43,1.68,0.07,0.08,87.2,12.8
1100072,0,5.2,4.13,1.27,57.98,9.19,11.28,6.62,3.55,0.76,0,0,96.63,3.37
1100080,1.55,10.86,3.59,3.58,58.18,3.59,9.79,2.65,5.19,1.01,0,0,96.36,3.64
1100098,2.03,6.46,4.81,0.78,56.41,1.67,16.2,3.04,7.98,0.63,0,0,85.33,14.67
1100106,2.04,7.48,6.17,2.39,51.03,7.45,12.14,4.91,5.95,0.21,0.22,0,91.53,8.47
1100114,1.75,8.17,5.81,1.53,51.08,3.66,16.49,3.37,7.58,0.54,0,0,89.93,10.07
1100122,1.8,8.13,5.38,1.9,48.37,3.14,15.75,3.43,11.23,0.8,0.03,0.03,83.5,16.5
1100130,0.09,7.21,5.1,1.51,59.79,5.53,10.8,4.41,5.3,0.13,0.13,0,91.76,8.24
1100148,1.5,9.61,2.32,3.19,57.28,2.34,15.83,2.35,5.18,0.28,0.11,0,93.53,6.47
1100155,3.64,9.04,4.82,1.11,51.69,3.78,11.35,5.25,8.24,1.08,0,0,87.03,12.97
1100189,2.82,7.64,6.47,0.99,48.07,4.12,14.22,4.36,11.08,0.24,0,0,84.57,15.43
1100205,2.76,6.81,5.73,1.17,48.02,3.63,13.41,3.7,13.55,0.94,0.18,0.11,76.48,23.52
1100254,1.57,6.43,6.02,2.32,50.67,3.68,17.14,4.14,7.29,0.74,0,0,90.59,9.41
1100262,0.24,8.9,7.14,0.56,53.37,8.4,10.25,5.65,4.69,0.8,0,0,92.49,7.51
1100288,1.9,7.85,3.56,1.12,51.74,2.84,12.79,4.3,12.85,0.91,0.12,0,86.3,13.7
1100296,3.75,4.29,5.07,0.77,53.43,2.85,16.43,4.8,6.85,1.76,0,0,91.41,8.59
1100304,3.13,8.4,4.86,1,45.35,5.02,12.96,4.91,13.61,0.74,0.03,0,81.5,18.5
1100320,0.7,8.55,4.62,1.03,58.32,2.59,16.94,1.83,4.68,0.73,0,0,92.94,7.06
1100338,1.1,5.83,7.68,0.86,61.8,3.69,11.69,2.7,4.09,0.42,0.15,0,94.43,5.57
1100346,1.32,6.64,5.57,1.36,53.37,5.42,15.77,3.99,5.64,0.91,0,0,93.57,6.43
1100379,0.28,4.9,2.96,1.05,63.15,3.97,15.14,1.67,6.75,0.14,0,0,92.93,7.07
1100403,0.92,5.62,11.03,1.65,56.93,2.85,11.29,4.82,4.54,0.36,0,0,95.73,4.27
1100452,0.79,8.89,6.55,1.41,57.46,5.48,11.85,2.64,3.41,1.41,0.1,0,93.03,6.97
1100502,2.08,8.28,9.74,1.25,49.28,4.18,15.2,3.46,5.59,0.95,0,0,94.69,5.31
1100601,0.4,8.44,3.87,1.77,58,4.31,15.3,1.69,5.56,0.65,0,0,94.72,5.28
1100700,2.18,6.11,2.94,0.68,71.02,1.96,9.82,2.59,2.56,0.14,0,0,96.81,3.19
1100809,3.13,7.17,7.47,0.66,58.78,3.68,10.98,2.27,5.55,0.32,0,0,94.43,5.57
1100908,0,6.41,2.43,1.21,54.97,6.81,18.05,1.78,6.97,1.37,0,0,92.64,7.36
1100924,3.36,7.36,5.78,1.66,59.35,1.88,12.77,2.43,4.28,1.02,0,0.11,98.02,1.98
1100940,3.02,4.56,7.74,0.05,63.99,2.44,11.7,2.47,3.83,0.2,0,0,95.75,4.25
1101005,2.22,5.44,6.62,2.83,59.37,1.81,16.13,2.91,2.22,0.45,0,0,97.52,2.48
1101104,1.61,6.72,6.82,0.96,61.67,3.05,10.95,2.82,5.06,0.33,0,0,98.06,1.94
1101203,0.6,5.4,8.57,0.13,51.54,3.66,17.27,4.38,8.02,0.43,0,0,91.99,8.01
1101302,1.02,8.24,5.6,1.22,55.68,5.48,12.68,4.97,4.39,0.6,0.12,0,92.51,7.49
1101401,1.25,4.63,4.08,1.16,63.04,4.19,12.69,2.4,5.73,0.83,0,0,88.51,11.49
1101435,0.77,6.5,5.83,0.8,62.84,3.2,14.73,2.06,2.71,0.56,0,0,97.12,2.88
1101450,0.66,6.51,7.71,0.52,61.4,2.75,15.16,2.29,2.5,0.5,0,0,97.17,2.83
1101468,0.58,7.51,6.82,0.65,53.64,7.62,12.31,5.33,3.57,1.96,0,0,95.1,4.9
1101476,3.13,7.31,8.41,1.49,55.61,1.4,13.59,1.18,7.66,0.23,0,0,94.15,5.85
1101484,0,6.53,1.92,0.36,58.44,1.17,16.63,3.11,9.18,2.51,0.14,0,89.16,10.84
1101492,0.74,3.83,2.99,0.71,63.44,5.74,12.43,5.41,3.83,0.87,0,0,95.17,4.83
1101500,0.74,5.98,6.49,2.42,57.83,5.19,15,5,1.07,0.29,0,0,97.9,2.1
1101559,3.51,4.66,9.04,0.6,56.87,2.98,17.14,2.39,2.82,0,0,0,96.74,3.26
1101609,0.65,8.51,8.35,1.85,56.58,3.04,16.35,2.06,2.35,0.25,0,0,96.67,3.33
1101708,2.33,5.54,3.87,0.34,62.08,3.06,15.73,2.15,3.68,1.2,0,0,93.98,6.02
