"city_code","pop.white","pop.black","pop.asian","pop.pardos","pop.indigenous","pop.others"
1100015,43.39,4.49,0.39,49.7,2.04,0
1100023,35.44,8.64,2.12,53.68,0.11,0
1100031,46.22,7.37,1.59,44.78,0.04,0
1100049,41.79,5.77,1.3,49.27,1.87,0
1100056,47.83,5.08,0.94,46.07,0.08,0
1100064,41.15,6.89,2.02,49.89,0.05,0
1100072,37.83,8.72,1.99,51.41,0.05,0
1100080,31.4,6.83,0.62,59.15,2,0
1100098,46.2,5.53,1.25,45.9,1.12,0
1100106,20.46,7.73,1.84,59.29,10.68,0
1100114,33.14,8.25,1.48,57.03,0.11,0
1100122,39.45,5.95,1.64,51.74,1.21,0
1100130,30.91,8.06,1.22,59.67,0.15,0
1100148,39.48,6.41,0.85,52.8,0.45,0
1100155,35.41,7.77,0.77,55.85,0.2,0
1100189,40.81,6.03,1.5,50.89,0.77,0
1100205,29.02,6.99,1.7,61.34,0.51,0.44
1100254,39.73,4.83,1.29,54.1,0.05,0
1100262,42.04,6.5,0.73,50.63,0.1,0
1100288,39.77,6.85,1.25,52.01,0.13,0
1100296,34.95,5.57,1.77,57.63,0.09,0
1100304,44.32,5.13,0.84,49,0.72,0
1100320,37.37,5.97,1.34,55.03,0.28,0
1100338,29.88,4.46,1.92,61.77,1.97,0
1100346,35.74,7.06,1.33,55.74,0.12,0
1100379,35.36,7.18,1.99,55.37,0.09,0
1100403,35.5,6.99,2.62,54.79,0.1,0
1100452,36.2,6.28,1.7,55.66,0.15,0
1100502,42.97,6.27,0.75,49.75,0.26,0
1100601,31.6,10.5,1.31,56.46,0.13,0
1100700,34.88,10.96,0.34,53.77,0.06,0
1100809,24.3,7.01,1.46,67.2,0.04,0
1100908,41.32,5.42,0.27,53,0,0
1100924,34.01,5.34,0.28,57.08,3.29,0
1100940,29.52,9.44,1.11,59.92,0,0
1101005,32.99,5.84,0.94,59.16,1.07,0
1101104,26.53,7.62,1.17,64.48,0.2,0
1101203,43.87,6.5,0.38,49.19,0.06,0
1101302,36.39,5.51,1.66,54.98,1.45,0
1101401,36.24,6.98,0.61,56.06,0.11,0
1101435,33.85,6.1,1.04,59,0,0
1101450,43.72,8.7,0.37,46.33,0.87,0
1101468,34.28,17.99,1.72,45.02,1,0
1101476,42.26,7.21,1.7,48.58,0.26,0
1101484,39.93,7.74,1.07,51.26,0,0
1101492,37.37,4.91,0.96,54.77,1.99,0
1101500,40.95,9.03,0.86,48.83,0.33,0
1101559,36.58,7.68,2.22,53.1,0.42,0
1101609,36.6,5.83,2,55.53,0.05,0
1101708,36.43,7.39,1.06,55.08,0.04,0
1101757,28.86,9.67,0.89,60.51,0.07,0
1101807,33.83,6.68,0.87,58.62,0,0
1200013,26.99,4.42,1.06,67.54,0,0
1200054,26.98,4.57,2.3,57.41,8.74,0
1200104,23.34,7.46,1.99,66.63,0.59,0
1200138,20.94,6.41,3.33,69.19,0.13,0
1200179,14.75,5.68,1.43,78.1,0.05,0
1200203,24.22,5.47,1.04,68.08,1.2,0
1200252,21.28,5.32,2.66,70.74,0,0
1200302,27.73,5.69,2.38,56.11,8.09,0
1200328,15.01,8.05,0.09,45.6,31.26,0
1200336,15.45,3.31,1.18,71.52,8.54,0
1200344,16.48,3.08,1.13,73.78,5.54,0
1200351,16.73,8.72,0.89,62.88,10.79,0
1200385,23.74,7.66,3.49,65,0.11,0
1200393,25.04,5.3,1.61,61.81,6.24,0
1200401,25.51,5.32,2.23,66.75,0.13,0.04
1200427,20.53,3.38,0.51,75.58,0,0
1200435,18.64,0.9,0.39,25.18,54.89,0
1200450,17.28,6.34,2.53,73.7,0.15,0
1200500,17.89,7.18,0.69,70.69,3.55,0
1200609,22.02,6.41,3.35,65.02,3.2,0
1200708,16.99,9.15,2.79,71.07,0,0
1200807,20.93,4.26,1.02,73.79,0,0
1300029,12.47,5.98,0.53,73.8,7.21,0
1300060,3.21,0.47,0.08,61.01,35.23,0
1300086,7.93,1.62,0.7,89.24,0.51,0
1300102,16.15,0.8,0.1,80.38,2.58,0
1300144,37.4,8.51,2,51.69,0.39,0
1300201,9.46,0.5,0.12,49.17,40.76,0
1300300,19.69,6.25,0.73,50.47,22.87,0
1300409,12.03,4.82,1.04,61.75,20.37,0
1300508,8.67,1.65,0.19,79.35,10.14,0
1300607,9.59,2.98,0.62,57.63,29.17,0
1300631,10.02,1.69,0.18,85.12,2.99,0
1300680,9.02,1.73,0.11,88.91,0.23,0
1300706,23.46,8.1,0.78,64.67,2.99,0
1300805,12.61,1.99,0.32,73.5,11.59,0
1300839,13.28,1.85,0.82,84.05,0,0
1300904,22.32,1.63,0.04,75.07,0.94,0
1301001,22.5,5.96,1.26,69.04,1.23,0
1301100,19.12,9.19,1.73,69.08,0.88,0
1301159,17.33,7.22,1.47,71.61,2.37,0
1301209,15.6,6.98,1.19,75.62,0.62,0
1301308,13.39,3.55,0.99,82.07,0,0
1301407,23.87,8.49,0.97,63.8,2.87,0
1301506,26.57,2.64,0.8,65.27,4.72,0
1301605,10.92,3.68,0.63,80.89,3.88,0
1301654,15.78,4.55,0.11,79.47,0.1,0
1301704,19.95,4.09,0.66,71.19,4.11,0
1301803,31.26,6.7,0.5,54.44,7.1,0
1301852,18.89,2.86,0.77,77.34,0.13,0
1301902,18.93,2.32,0.28,78.09,0.37,0
1301951,14.69,1.26,0.38,70.88,12.79,0
