"city_code","pop.residPerHouse"
1100015,3.31
1100023,3.3
1100031,3.19
1100049,3.23
1100056,3.16
1100064,3.11
1100072,3.26
1100080,3.65
1100098,3.29
1100106,3.74
1100114,3.25
1100122,3.25
1100130,3.38
1100148,3.32
1100155,3.23
1100189,3.34
1100205,3.6
1100254,3.24
1100262,3.3
1100288,3.18
1100296,3.22
1100304,3.21
1100320,3.39
1100338,3.5
1100346,3.32
1100379,3.45
1100403,3.37
1100452,3.39
1100502,3.42
1100601,3.38
1100700,3.47
1100809,3.46
1100908,3.19
1100924,3.4
1100940,3.43
1101005,3.49
1101104,3.34
1101203,3.54
1101302,3.38
1101401,3.44
1101435,3.56
1101450,3.42
1101468,3.24
1101476,3.25
1101484,3.31
1101492,3.38
1101500,3.42
1101559,3.29
1101609,3.36
1101708,3.3
1101757,3.34
1101807,3.36
1200013,3.61
1200054,3.91
1200104,3.58
1200138,3.62
1200179,3.73
1200203,4.2
1200252,3.42
1200302,4.58
1200328,5.03
1200336,4.22
1200344,4.27
1200351,5.15
1200385,3.61
1200393,5.33
1200401,3.54
1200427,4.57
1200435,5.71
1200450,3.58
1200500,4.06
1200609,4.72
1200708,3.57
1200807,3.69
1300029,5.66
1300060,5.66
1300086,5.4
1300102,5.3
1300144,3.89
1300201,5.22
1300300,4.61
1300409,5.33
1300508,5.28
1300607,5.53
1300631,5.36
1300680,5.42
1300706,4.26
1300805,5.25
1300839,4.92
1300904,4.31
1301001,4.9
1301100,4.43
1301159,4.15
1301209,4.98
1301308,5.17
1301407,4.89
1301506,5.09
1301605,5.84
1301654,5.25
1301704,4.48
1301803,5.98
1301852,4.15
1301902,4.35
1301951,5.11
1302009,4.58
1302108,5.73
1302207,5.27
1302306,5.66
1302405,4.61
1302504,4.67
1302553,4.65
1302603,3.9
1302702,4.91
1302801,6.26
1302900,5.2
1303007,4.82
1303106,5.45
1303205,4.62
1303304,5
1303403,4.89
1303502,5.92
1303536,3.73
1303569,4.16
1303601,6.87
1303700,6.08
1303809,5.03
1303908,5.87
1303957,5.49
1304005,4.84
1304062,5.18
1304104,4.89
1304203,5.03
1304237,6.11
1304260,5.35
1304302,4.99
1304401,5.36
1400027,4.41
1400050,4.44
1400100,3.7
1400159,4.34
1400175,3.79
1400209,4.11
1400233,3.71
1400282,3.86
1400308,3.79
1400407,5.23
1400456,4.33
1400472,4.04
1400506,3.87
1400605,3.85
1400704,5.79
1500107,4.53
1500131,3.61
1500206,4.52
1500305,5.16
1500347,4.26
1500404,4.34
1500503,4.25
1500602,3.72
1500701,5.08
1500800,3.75
1500859,4.03
1500909,4.57
1500958,4.53
1501006,4.6
1501105,5.88
1501204,4.59
1501253,3.43
1501303,4.01
1501402,3.77
1501451,4.08
1501501,3.76
1501576,3.96
1501600,4.09
1501709,4.3
1501725,3.59
1501758,3.81
1501782,4.28
1501808,5.27
1501907,4.38
1501956,4.68
1502004,4.48
1502103,5.11
1502152,3.57
1502202,3.76
1502301,3.99
1502400,3.8
1502509,4.87
1502608,4.06
1502707,3.53
1502756,4.46
1502764,3.75
1502772,3.49
1502806,5.31
1502855,4.62
1502905,4.03
1502939,3.91
1502954,3.83
1503002,4.76
1503044,3.66
1503077,4.3
1503093,3.87
1503101,5.37
1503200,3.93
1503309,4.82
1503408,4.01
1503457,4.5
1503507,4.18
1503606,4.06
1503705,4.04
1503754,5.54
1503804,4.07
1503903,4.96
1504000,5.12
1504059,3.94
1504109,4.08
1504208,3.84
1504307,4.15
1504406,3.95
1504422,3.94
1504455,3.68
1504505,6.1
1504604,4.98
1504703,4.47
1504802,4.02
1504901,4.86
1504950,4.3
1504976,3.86
1505007,3.73
1505031,3.6
1505064,4.08
1505106,4.35
1505205,5.23
1505304,4.58
1505403,3.95
1505437,3.83
1505486,3.93
1505494,3.75
1505502,3.9
1505536,3.59
1505551,3.65
1505601,3.55
1505635,3.6
1505650,4.21
1505700,4.43
1505809,5.39
1505908,5.52
1506005,4.73
1506104,3.88
1506112,4.05
1506138,3.71
1506161,3.42
1506187,3.74
1506195,4.21
1506203,4.06
1506302,3.95
1506351,3.83
1506401,5.43
1506500,3.7
1506559,4.16
1506583,3.31
1506609,3.62
1506708,3.98
1506807,4.19
1506906,3.96
1507003,3.82
1507102,3.97
1507151,3.85
1507201,4.65
1507300,4.04
1507409,3.82
1507458,3.73
1507466,3.89
1507474,4.07
1507508,4.03
1507607,4.07
1507706,4.72
1507755,3.57
1507805,3.93
1507904,4.13
1507953,4.8
1507961,3.95
1507979,4.67
1508001,4.14
1508035,4.22
1508050,4.16
1508084,3.55
1508100,4.11
1508126,5.05
1508159,3.94
1508209,4.05
1508308,4.58
1508357,4.48
1508407,3.51
1600055,3.81
1600105,4.5
1600154,4.07
1600204,3.98
1600212,4.53
1600238,4.31
1600253,4.46
1600279,4.04
1600303,4.2
1600402,4.79
1600501,4.27
1600535,4.05
1600550,4.71
1600600,4.52
1600709,4.44
1600808,4.44
1700251,3.15
1700301,3.89
1700350,3.28
1700400,3.6
1700707,3.21
1701002,3.72
1701051,3.76
1701101,3.36
1701309,3.47
1701903,3.4
1702000,2.97
1702109,3.42
1702158,3.6
1702208,3.83
1702307,3.42
1702406,3.34
1702554,3.69
1702703,3.1
1702901,3.77
1703008,4.1
1703057,3.4
1703073,4.05
1703107,3.34
1703206,3.29
1703305,3.57
1703602,3.38
1703701,3.41
1703800,4.28
1703826,3.81
1703842,4.3
1703867,3.15
1703883,3.48
1703891,3.93
1703909,3.41
1704105,3.66
1704600,2.94
1705102,3.53
1705508,3.35
1705557,3.22
1705607,3.61
1706001,3.52
1706100,3.18
1706258,3.19
1706506,3.52
1707009,3.7
1707108,3.23
1707207,3.14
1707306,3.15
1707405,4.2
1707553,3.32
1707652,3.06
1707702,3.71
1708205,3.43
1708254,3.51
1708304,3.24
1709005,4.03
1709302,3.32
1709500,3.29
1709807,3.16
1710508,3.77
1710706,3.71
1710904,3.31
