"city_code","pop.1rooms","pop.2rooms","pop.3rooms","pop.4rooms","pop.5rooms","pop.6rooms","pop.7rooms","pop.8rooms","pop.9rooms","pop.10plusrooms","pop.room.avg"
1100015,1.04,1.95,10.03,17.23,25.06,23.59,10.71,4.8,2.78,2.82,5.3738
1100023,0.8,4.96,12.08,18.37,28.69,17.06,8.78,4.85,1.84,2.57,5.0877
1100031,0.34,1.59,3.79,13.82,30.3,26.89,13.12,7.13,1.22,1.8,5.6087
1100049,0.48,3.32,7.58,14.3,27.79,21.66,12.54,6.56,2.55,3.23,5.5148
1100056,0.38,0.99,3.71,13.59,30.99,26.24,12.76,4.84,2.85,3.64,5.7033
1100064,0.34,1.81,3.63,12.22,28.58,26.57,13.43,7.23,3.48,2.71,5.7632
1100072,0,2.45,6.7,15.64,26.66,21.72,16.37,5.52,2.63,2.33,5.569
1100080,1.88,5.67,10.68,23.87,26.82,17.55,8.41,2.82,0.83,1.5,4.8404
1100098,0.35,3.73,6.28,15.61,30.87,20.96,12.75,5.54,2.45,1.46,5.3942
1100106,5,10.79,11.05,17.85,21.08,16.26,8.56,5.02,1.39,2.98,4.7648
1100114,0.27,2.05,6.22,15.35,30.77,21.43,13.54,5.66,2.34,2.37,5.5168
1100122,0.65,3.33,7.69,15.33,30.2,20.95,10.69,5.28,2.8,3.09,5.4157
1100130,1.59,5.47,11.7,21.99,30.32,17.09,5.88,3.04,1.29,1.63,4.8312
1100148,0.84,3.37,6.04,17.67,29.74,24.01,11.21,4.11,1.48,1.53,5.2911
1100155,0.14,1.99,4.75,12.7,27.57,25.91,12.88,7.09,3.72,3.24,5.7524
1100189,0.21,2.67,5.91,15.72,28.96,23.95,10.75,6.67,2.39,2.75,5.5228
1100205,2.33,8.33,12.84,16.49,24.66,14.82,8.99,5.53,2.69,3.31,5.0017
1100254,0.91,1.86,3.92,15.54,29.04,24.62,13.83,5.7,2.43,2.13,5.5705
1100262,2.19,2.33,7.95,25.1,34.75,17.58,6.37,2.24,0.76,0.71,4.8678
1100288,0.47,2.63,6.6,13.27,33.81,20.77,10.67,6.67,2.81,2.3,5.4862
1100296,0.15,1.24,4.37,14.7,27.22,29.46,13,5.55,1.92,2.4,5.6408
1100304,0.33,3.61,10.32,14.72,26.76,18.91,11.42,6,3.85,4.08,5.4804
1100320,1.59,3.47,7.32,16.32,26.99,23.82,13.13,4.22,1.9,1.24,5.2881
1100338,2.44,5.7,9.39,26.41,28.4,14.64,9.27,1.7,0.97,1.09,4.7561
1100346,1.09,1.59,6.65,20.12,31.42,23,9.71,3.86,1.51,1.06,5.2284
1100379,1.04,3.22,6.95,18.96,29.96,20.79,11.69,3.7,2.36,1.34,5.2478
1100403,1.44,4.3,9.1,16.99,26.85,25.05,8.12,4.89,1.89,1.37,5.1652
1100452,1.22,4,9.84,21.16,29.8,22.69,7.45,2.66,0.48,0.7,4.9327
1100502,0.08,2.93,6.03,14.76,32.35,24.6,10.46,5.7,1.75,1.35,5.4049
1100601,1.43,2.8,8.13,19.07,29.8,23.36,10.23,3.31,0.98,0.9,5.1277
1100700,1.47,5.24,11.42,24.7,29.33,14,8.79,3.25,1.04,0.76,4.8015
1100809,4.13,11.77,12.05,18.94,25.89,15.52,6.03,3.44,1.16,1.06,4.5292
1100908,0.54,2.87,4.44,14.88,27.91,23.74,15.59,5.44,3.12,1.47,5.5654
1100924,1.1,4.9,9.65,22.21,29.13,19.43,7.75,4.6,0.78,0.45,4.9349
1100940,3.82,8.73,12.76,22.91,28.84,13.25,5.35,2.82,0.86,0.66,4.4925
1101005,0.88,2.92,9.01,16.93,25.45,22.58,11.89,5.38,3.05,1.9,5.3692
1101104,2.29,6.54,9.99,23.21,27.64,17.1,7.15,2.51,2.22,1.35,4.8259
1101203,0.35,1.47,3.05,14.88,32.82,25.66,12.3,5.87,1.79,1.8,5.5719
1101302,0.6,3.23,5.05,16.56,28.05,26.64,12.67,4.34,1.68,1.18,5.3887
1101401,1.9,3.85,8.56,21.14,30.64,17.23,9.65,3.5,1.67,1.85,5.055
1101435,0.58,2.47,6.48,16.96,25.64,22.04,13.73,7.53,2.65,1.92,5.5264
1101450,0.97,2.06,7.18,16.9,33.22,24,7.75,5.86,1.48,0.57,5.2448
1101468,1.69,5.47,6.12,18.78,28.71,21.59,11.91,4.15,0.85,0.72,5.1062
