"city_code","pop.male","pop.female"
1100015,51.89,48.11
1100023,50.41,49.59
1100031,51.73,48.27
1100049,49.79,50.21
1100056,50.21,49.79
1100064,50.19,49.81
1100072,53.64,46.36
1100080,52.65,47.35
1100098,50.84,49.16
1100106,50.29,49.71
1100114,50,50
1100122,49.59,50.41
1100130,53.11,46.89
1100148,52.05,47.95
1100155,49.3,50.7
1100189,50.38,49.62
1100205,50.78,49.22
1100254,50.67,49.33
1100262,53.29,46.71
1100288,49.7,50.3
1100296,51.72,48.28
1100304,49.58,50.42
1100320,51.9,48.1
1100338,52.05,47.95
1100346,51.49,48.51
1100379,52.58,47.42
1100403,52.65,47.35
1100452,51.7,48.3
1100502,52.11,47.89
1100601,51.69,48.31
1100700,53.44,46.56
1100809,52.18,47.82
1100908,51.16,48.84
1100924,53.19,46.81
1100940,53.34,46.66
1101005,52.04,47.96
1101104,53.29,46.71
1101203,51.24,48.76
1101302,50.93,49.07
1101401,52.57,47.43
1101435,53.37,46.63
1101450,53.95,46.05
1101468,52.61,47.39
1101476,52.67,47.33
1101484,51.28,48.72
1101492,52.48,47.52
1101500,52.34,47.66
1101559,51.96,48.04
1101609,53.08,46.92
1101708,51.88,48.12
1101757,53.06,46.94
1101807,51.69,48.31
1200013,52.58,47.42
1200054,50.91,49.09
1200104,51.58,48.42
1200138,53.94,46.06
1200179,52.91,47.09
1200203,49.96,50.04
1200252,50.5,49.5
1200302,51.57,48.43
1200328,51.88,48.12
1200336,51.53,48.47
1200344,53.31,46.69
1200351,52.46,47.54
1200385,52.29,47.71
1200393,52.24,47.76
1200401,48.68,51.32
1200427,51.98,48.02
1200435,51.29,48.71
1200450,51.18,48.82
1200500,51.91,48.09
1200609,51.57,48.43
1200708,51.69,48.31
1200807,52.72,47.28
1300029,52.64,47.36
1300060,51.78,48.22
1300086,53.32,46.68
1300102,52.16,47.84
1300144,53.04,46.96
1300201,51.82,48.18
1300300,52.87,47.13
1300409,53.72,46.28
1300508,52.32,47.68
1300607,51.66,48.34
1300631,52.6,47.4
1300680,53.04,46.96
1300706,52.06,47.94
1300805,52.16,47.84
1300839,52.96,47.04
1300904,53.95,46.05
1301001,51.44,48.56
1301100,51.9,48.1
1301159,53.02,46.98
1301209,51.97,48.03
1301308,52.17,47.83
1301407,51.46,48.54
1301506,51.36,48.64
1301605,51.82,48.18
1301654,51.99,48.01
1301704,52.47,47.53
1301803,51.02,48.98
1301852,51.48,48.52
1301902,51.16,48.84
1301951,52.7,47.3
1302009,52.36,47.64
1302108,52.35,47.65
1302207,51.36,48.64
1302306,52.42,47.58
1302405,52.09,47.91
1302504,51.05,48.95
1302553,51.51,48.49
1302603,48.82,51.18
1302702,52.5,47.5
1302801,53.67,46.33
1302900,52.23,47.77
1303007,51.95,48.05
1303106,51.3,48.7
1303205,51.67,48.33
1303304,53.28,46.72
1303403,51.26,48.74
1303502,52.24,47.76
1303536,52.81,47.19
1303569,52.12,47.88
1303601,51.37,48.63
1303700,51.44,48.56
1303809,51.36,48.64
1303908,51.77,48.23
1303957,53.06,46.94
1304005,53.27,46.73
1304062,50.43,49.57
1304104,52.81,47.19
1304203,51.29,48.71
1304237,51.39,48.61
1304260,53.25,46.75
1304302,51.8,48.2
1304401,53.42,46.58
1400027,53.52,46.48
1400050,52.75,47.25
1400100,49.52,50.48
1400159,53.72,46.28
1400175,54.22,45.78
1400209,52.9,47.1
1400233,53.11,46.89
1400282,52.9,47.1
1400308,53.17,46.83
1400407,52.33,47.67
1400456,51.84,48.16
1400472,53.23,46.77
1400506,52.46,47.54
1400605,52.86,47.14
1400704,51.81,48.19
1500107,50.77,49.23
1500131,52.11,47.89
1500206,52.48,47.52
1500305,52.66,47.34
1500347,54.35,45.65
1500404,51.36,48.64
1500503,51.97,48.03
1500602,50.28,49.72
1500701,52.33,47.67
1500800,48.02,51.98
1500859,53.51,46.49
1500909,51.83,48.17
1500958,51.31,48.69
1501006,52.79,47.21
1501105,50.85,49.15
1501204,52.72,47.28
1501253,53.83,46.17
1501303,50.42,49.58
1501402,47.3,52.71
1501451,51.97,48.03
1501501,49.98,50.02
1501576,52.63,47.37
1501600,52.19,47.81
1501709,50.6,49.4
1501725,52.99,47.01
1501758,52.37,47.63
1501782,51.6,48.4
1501808,51.46,48.54
1501907,51.9,48.1
1501956,51.8,48.2
1502004,51.58,48.42
1502103,51.3,48.7
1502152,50.85,49.15
1502202,49.49,50.51
1502301,51.3,48.7
1502400,48.79,51.21
1502509,53.23,46.77
1502608,51.66,48.34
1502707,51.16,48.84
1502756,51.71,48.29
1502764,58.1,41.9
1502772,52.85,47.15
1502806,52.75,47.25
1502855,52.68,47.32
1502905,51.23,48.77
1502939,51.88,48.12
1502954,52.9,47.1
1503002,51.85,48.15
1503044,53.75,46.25
1503077,52.36,47.64
1503093,51.75,48.25
1503101,52.99,47.01
1503200,50.48,49.52
1503309,51.09,48.91
1503408,51.51,48.49
1503457,52.44,47.56
1503507,51.85,48.15
1503606,50.96,49.04
1503705,52.76,47.24
1503754,56.99,43.01
1503804,50.17,49.83
1503903,52.2,47.8
1504000,52.42,47.58
1504059,49.24,50.76
1504109,52.47,47.53
1504208,50.58,49.42
1504307,51.8,48.2
1504406,52.19,47.81
1504422,49.78,50.22
1504455,54.48,45.52
1504505,53.32,46.68
1504604,51.43,48.57
1504703,52.37,47.63
1504802,51.4,48.6
1504901,52.35,47.65
1504950,52.8,47.2
1504976,52.79,47.21
1505007,51.81,48.19
1505031,53.47,46.53
1505064,52.78,47.22
1505106,51.82,48.18
1505205,52.52,47.48
1505304,50.57,49.43
1505403,51.76,48.24
1505437,52.16,47.84
1505486,54.03,45.97
1505494,51.89,48.11
1505502,50.37,49.63
1505536,50.61,49.39
1505551,52.68,47.32
1505601,51.43,48.57
1505635,53.37,46.63
1505650,52.51,47.49
1505700,51.46,48.54
1505809,51.4,48.6
1505908,51.87,48.13
1506005,52.87,47.13
1506104,51.62,48.38
1506112,52.06,47.94
1506138,50.32,49.69
1506161,51.77,48.23
1506187,51.69,48.31
1506195,52.07,47.93
1506203,51.03,48.97
1506302,50.99,49.01
1506351,51.08,48.92
1506401,50.79,49.21
1506500,52.39,47.61
1506559,50.89,49.11
1506583,55.2,44.8
1506609,49.91,50.09
1506708,53.05,46.95
1506807,49.4,50.6
1506906,52.29,47.71
1507003,50.36,49.64
1507102,52.13,47.87
1507151,51.45,48.55
1507201,52.74,47.26
1507300,53.31,46.69
1507409,51.63,48.37
1507458,51.17,48.83
1507466,52,48
1507474,52.11,47.89
1507508,54.34,45.66
1507607,50.47,49.53
1507706,51.66,48.34
1507755,53.7,46.3
1507805,53.62,46.38
1507904,49.88,50.12
1507953,51.69,48.31
1507961,51.37,48.63
1507979,51.78,48.22
1508001,51.88,48.12
1508035,52.19,47.81
1508050,54.2,45.8
1508084,51.91,48.09
1508100,49.83,50.17
1508126,51.24,48.76
1508159,52.77,47.23
1508209,51.26,48.74
1508308,52.57,47.43
1508357,54.21,45.79
1508407,50.7,49.3
1600055,53.26,46.74
1600105,52.19,47.81
1600154,54.46,45.54
1600204,53.57,46.43
1600212,51.62,48.38
1600238,52.5,47.5
1600253,54.4,45.6
1600279,51.16,48.84
1600303,49.12,50.88
1600402,52.69,47.31
1600501,52.19,47.81
1600535,52.78,47.22
1600550,52.65,47.35
1600600,49.79,50.21
1600709,53.16,46.84
1600808,51.71,48.29
1700251,52.74,47.26
1700301,50.72,49.28
1700350,51.26,48.74
1700400,52.27,47.73
1700707,50.78,49.22
1701002,50.49,49.51
1701051,52.69,47.31
1701101,51.51,48.49
1701309,53.35,46.65
1701903,52.73,47.27
1702000,51.34,48.66
1702109,48.9,51.1
1702158,51.37,48.63
1702208,50.97,49.03
1702307,51.13,48.87
1702406,50.66,49.34
1702554,50.19,49.81
1702703,51.48,48.52
1702901,49.6,50.4
1703008,53.15,46.85
1703057,54.2,45.8
1703073,53.24,46.76
1703107,51.56,48.44
1703206,52.18,47.82
1703305,52.79,47.21
1703602,51.21,48.79
1703701,50.13,49.87
1703800,50.56,49.44
1703826,52.93,47.07
1703842,52.39,47.61
1703867,56.07,43.93
1703883,52.07,47.93
1703891,52.03,47.97
1703909,51.81,48.19
1704105,53.59,46.41
1704600,53.63,46.37
1705102,54.68,45.32
1705508,49.58,50.42
1705557,50.85,49.15
1705607,50.98,49.02
1706001,52.67,47.33
1706100,51.13,48.87
1706258,52.49,47.51
1706506,52.63,47.37
1707009,50.64,49.36
1707108,51.55,48.45
1707207,55.27,44.73
1707306,53.14,46.86
1707405,51.82,48.18
1707553,50.17,49.83
1707652,50.66,49.34
1707702,52.56,47.44
1708205,52.14,47.86
1708254,51.01,48.99
1708304,53.45,46.55
1709005,52.11,47.89
1709302,50.38,49.63
1709500,49.65,50.35
1709807,52.72,47.28
1710508,52.52,47.48
1710706,51.48,48.52
1710904,54.16,45.84
1711100,52.56,47.44
1711506,51.75,48.25
1711803,52.71,47.29
1711902,54.11,45.89
1711951,51.91,48.09
1712009,52.79,47.21
1712157,52.21,47.79
1712405,53.88,46.12
1712454,51.49,48.51
1712504,53.26,46.74
1712702,53.4,46.6
1712801,53.8,46.2
1713205,50.02,49.98
1713304,50.88,49.12
1713601,53.62,46.38
1713700,53.72,46.28
1713809,52.11,47.89
1713957,52.57,47.43
1714203,51.07,48.93
1714302,51.57,48.43
1714880,52.18,47.82
1715002,52.12,47.88
1715101,51.06,48.94
1715150,51.62,48.38
1715259,51.97,48.03
1715507,53.23,46.77
1715705,53.67,46.33
1715754,50.47,49.53
1716109,49.78,50.22
1716208,52.66,47.34
1716307,53.6,46.4
1716505,51.73,48.27
1716604,52.26,47.74
1716653,52.77,47.23
1716703,50.73,49.27
1717008,52.93,47.07
1717206,55.68,44.32
1717503,52.67,47.33
1717800,52.93,47.07
1717909,54.03,45.97
1718006,51.18,48.82
1718204,49.89,50.11
1718303,50.88,49.12
1718402,51.13,48.87
1718451,53.06,46.94
1718501,53.29,46.71
1718550,51.73,48.27
1718659,51.69,48.31
1718709,52.96,47.04
1718758,54.03,45.97
1718808,50.98,49.02
1718840,52.35,47.65
1718865,51.78,48.22
1718881,52.45,47.55
1718899,52.11,47.89
1718907,52.78,47.22
1719004,53.07,46.93
1720002,51.25,48.75
1720101,52.15,47.85
1720150,53.58,46.42
1720200,50.47,49.53
1720259,51.07,48.93
1720309,51.34,48.66
1720499,51.72,48.28
1720655,52.39,47.61
1720804,50.62,49.38
1720853,51.32,48.68
1720903,52.38,47.62
1720937,52.29,47.71
1720978,52.73,47.27
1721000,49.42,50.58
1721109,51.6,48.4
1721208,49.52,50.48
1721257,53.56,46.44
1721307,51.84,48.16
1722081,51.43,48.57
1722107,51.44,48.56
2100055,50.09,49.91
2100105,50.33,49.67
2100154,51.96,48.04
2100204,51.52,48.48
2100303,51.75,48.25
2100402,50.32,49.68
2100436,49.9,50.1
2100477,51.59,48.41
2100501,50.79,49.21
2100550,51.5,48.5
2100600,52.15,47.85
2100709,51.24,48.76
2100808,50.36,49.64
2100832,52.25,47.75
2100873,50.95,49.05
2100907,51.78,48.22
2100956,51.99,48.01
2101004,50.25,49.75
2101103,51.04,48.96
2101202,47.75,52.25
2101251,50.32,49.68
2101301,51.11,48.89
2101350,51.86,48.14
2101400,49.77,50.23
