"city_code","pop.urban","pop.rural"
1100015,57.27,42.73
1100023,84.7,15.3
1100031,42.66,57.34
1100049,78.81,21.19
1100056,84.67,15.33
1100064,73.46,26.54
1100072,29.49,70.51
1100080,54.81,45.19
1100098,71.74,28.26
1100106,84.52,15.48
1100114,67.53,32.47
1100122,89.92,10.08
1100130,51.94,48.06
1100148,42.17,57.83
1100155,74.3,25.7
1100189,86.98,13.02
1100205,91.59,8.41
1100254,59.6,40.4
1100262,32.09,67.91
1100288,81.8,18.2
1100296,50.92,49.08
1100304,94.77,5.23
1100320,38.8,61.2
1100338,57.96,42.04
1100346,52.36,47.64
1100379,28.53,71.47
1100403,47.87,52.13
1100452,55.96,44.04
1100502,16.92,83.08
1100601,36.07,63.93
1100700,26.62,73.38
1100809,65.15,34.85
1100908,23.38,76.62
1100924,44.13,55.87
1100940,69.65,30.35
1101005,22.46,77.54
1101104,60.96,39.04
1101203,29.69,70.31
1101302,54.25,45.75
1101401,52.44,47.56
1101435,20.57,79.43
1101450,36.88,63.12
1101468,55.81,44.19
1101476,36.44,63.56
1101484,23.99,76.01
1101492,51.31,48.69
1101500,37.81,62.19
1101559,35.11,64.89
1101609,18.57,81.43
1101708,39.59,60.41
1101757,34.02,65.98
1101807,27.72,72.28
1200013,47.18,52.82
1200054,60.94,39.06
1200104,66.63,33.37
1200138,43.6,56.4
1200179,44.66,55.34
1200203,70.47,29.53
1200252,70.32,29.68
1200302,51.33,48.67
1200328,34.54,65.46
1200336,57.54,42.46
1200344,66.13,33.87
1200351,27.9,72.1
1200385,60.33,39.67
1200393,36.21,63.79
1200401,91.82,8.18
1200427,29.99,70.01
1200435,40.33,59.67
1200450,62.95,37.05
1200500,66.03,33.97
1200609,54.37,45.63
1200708,64.2,35.8
1200807,13.32,86.68
1300029,55.98,44.02
1300060,52.39,47.61
1300086,40.87,59.13
1300102,61.29,38.71
1300144,58.84,41.16
1300201,45.49,54.51
1300300,43.23,56.77
1300409,43.38,56.62
1300508,45.4,54.6
1300607,60.27,39.73
1300631,50.23,49.77
1300680,50.4,49.6
1300706,63.16,36.84
1300805,41.29,58.71
1300839,46.83,53.17
1300904,52.46,47.54
1301001,76.6,23.4
1301100,28.83,71.17
1301159,4.18,95.82
1301209,65.36,34.64
1301308,68.11,31.89
1301407,72.28,27.72
1301506,64.59,35.41
1301605,66.24,33.76
1301654,53.15,46.85
1301704,68.96,31.04
1301803,42.68,57.32
1301852,71.06,28.94
1301902,66.97,33.03
1301951,55.64,44.36
1302009,78.57,21.43
1302108,45.02,54.98
1302207,52.64,47.36
1302306,58.65,41.35
1302405,64.21,35.79
1302504,70.31,29.69
1302553,31.04,68.96
1302603,99.49,0.51
1302702,43.28,56.72
1302801,49.94,50.06
1302900,49.45,50.55
1303007,38.35,61.65
1303106,44.39,55.61
1303205,64.52,35.48
1303304,65.61,34.39
1303403,68.5,31.5
1303502,51,49
1303536,47.84,52.16
1303569,47.46,52.54
1303601,37.78,62.22
1303700,52.89,47.11
1303809,50.28,49.72
1303908,45.39,54.61
1303957,55.15,44.85
1304005,47.71,52.29
1304062,69.55,30.45
1304104,55.66,44.34
1304203,81.48,18.52
1304237,52.1,47.9
1304260,57.14,42.86
1304302,57.83,42.17
1304401,58.57,41.43
1400027,13.07,86.93
1400050,29.06,70.94
1400100,97.71,2.29
1400159,33.91,66.09
1400175,16.24,83.76
1400209,59.3,40.7
1400233,40.97,59.03
1400282,46.9,53.1
1400308,61.58,38.42
1400407,25.85,74.15
1400456,43.27,56.73
1400472,47.5,52.5
1400506,70.25,29.75
1400605,66,34
1400704,13.59,86.41
1500107,58.82,41.18
1500131,89,11
1500206,23.56,76.44
1500305,27.05,72.95
1500347,19.46,80.54
1500404,52.68,47.32
1500503,59.39,40.61
1500602,84.88,15.12
1500701,38.35,61.65
1500800,99.75,0.25
1500859,47.87,52.13
1500909,45.04,54.96
1500958,30.77,69.23
1501006,20.06,79.94
1501105,44.67,55.33
1501204,50.31,49.69
1501253,37.37,62.63
1501303,36.35,63.65
1501402,99.14,0.86
1501451,41.99,58.01
1501501,55.98,44.02
1501576,53.33,46.67
1501600,28.08,71.92
1501709,64.14,35.86
1501725,43.97,56.03
1501758,58.88,41.12
1501782,55.83,44.17
1501808,50.26,49.74
1501907,31.52,68.48
1501956,20.89,79.11
1502004,35.98,64.02
1502103,43.71,56.29
1502152,77.58,22.42
1502202,79.72,20.28
1502301,41.32,58.68
1502400,88.58,11.42
1502509,11.95,88.05
1502608,32.17,67.83
1502707,71.26,28.74
1502756,53.47,46.53
1502764,25.9,74.1
1502772,68.51,31.49
1502806,38.29,61.71
1502855,47.18,52.82
1502905,35.5,64.5
1502939,63.36,36.64
1502954,52.16,47.84
1503002,74.94,25.06
1503044,49.04,50.96
1503077,34.38,65.62
1503093,69.27,30.73
1503101,32.96,67.04
1503200,59.09,40.91
1503309,45.12,54.88
1503408,27.61,72.39
1503457,23.83,76.17
1503507,20.8,79.2
1503606,72.5,27.5
1503705,40,60
1503754,34.96,65.04
1503804,88.95,11.05
1503903,33.67,66.33
1504000,24.77,75.23
1504059,82.61,17.39
1504109,46.77,53.23
1504208,79.72,20.28
1504307,41.08,58.92
1504406,43.99,56.01
1504422,98.96,1.04
1504455,34.98,65.02
1504505,22.18,77.82
