"city_code","pop.water.access","pop.water.accessInHouse","pop.water.accessInProperty","pop.water.noaccess"
1100015,89.93,88.2,1.73,10.07
1100023,91.75,87.09,4.66,8.25
1100031,96.21,95.19,1.02,3.79
1100049,98.32,97.54,0.78,1.68
1100056,94.54,89.85,4.69,5.46
1100064,97.46,96.12,1.34,2.54
1100072,94.57,91.59,2.98,5.43
1100080,66.44,62.3,4.13,33.56
1100098,93.34,91.09,2.25,6.66
1100106,64.58,57.76,6.82,35.42
1100114,85.51,84.78,0.73,14.49
1100122,95.56,91.47,4.08,4.44
1100130,81.7,79.82,1.88,18.3
1100148,89.79,87.44,2.36,10.21
1100155,96.99,94.21,2.78,3.01
1100189,96.22,91.94,4.27,3.78
1100205,79.66,74.83,4.83,20.34
1100254,93.47,90.68,2.79,6.53
1100262,86.75,85.28,1.47,13.25
1100288,96.06,95.25,0.81,3.94
1100296,93.91,91.17,2.73,6.09
1100304,99.4,97.81,1.59,0.6
1100320,91.72,88.6,3.13,8.28
1100338,64.48,62.61,1.87,35.52
1100346,92.26,90.7,1.56,7.74
1100379,84.66,81.05,3.61,15.34
1100403,83.38,80.62,2.76,16.62
1100452,88.28,84.48,3.8,11.72
1100502,93.21,87.11,6.1,6.79
1100601,85.61,83.53,2.07,14.39
1100700,75.01,70.31,4.7,24.99
1100809,81.54,78.36,3.18,18.46
1100908,94.29,91.81,2.48,5.71
1100924,93.85,90.26,3.58,6.15
1100940,80.49,73.66,6.84,19.51
1101005,88.46,86.91,1.55,11.54
1101104,77.03,72.61,4.42,22.97
1101203,97.39,93.72,3.67,2.61
1101302,92.2,87.4,4.8,7.8
1101401,87.28,85.59,1.69,12.72
1101435,91.86,87.15,4.71,8.14
1101450,94.91,85.33,9.58,5.09
1101468,91.87,87.26,4.61,8.13
1101476,96.53,92.41,4.12,3.47
1101484,94.35,92.6,1.75,5.65
1101492,84.81,81.87,2.94,15.19
1101500,80.38,79.58,0.8,19.62
1101559,95.35,94.14,1.21,4.65
1101609,92.56,89.63,2.92,7.44
1101708,91.11,87.1,4.01,8.89
1101757,82.08,75.58,6.49,17.92
1101807,94.99,93.19,1.81,5.01
1200013,77.93,69.33,8.6,22.07
1200054,66.29,53.17,13.12,33.71
1200104,77.49,65.48,12.01,22.51
1200138,64.27,56.05,8.22,35.73
1200179,61.75,36.29,25.45,38.25
1200203,65.86,51.35,14.51,34.14
1200252,77.69,63.83,13.86,22.31
1200302,45.78,34.56,11.23,54.22
1200328,37.37,18.14,19.23,62.63
1200336,66.35,39.89,26.46,33.65
1200344,64.45,41.72,22.72,35.55
1200351,24.04,21.01,3.03,75.96
1200385,71.38,58.88,12.5,28.62
1200393,38.94,22.95,15.99,61.06
1200401,77.78,68.39,9.4,22.22
1200427,50.42,19.42,31,49.58
1200435,50.45,42.39,8.06,49.55
1200450,76.92,65.42,11.5,23.08
1200500,58.26,44.16,14.1,41.74
1200609,56.1,36.88,19.22,43.9
1200708,74.46,67.38,7.08,25.54
1200807,61.81,54.37,7.44,38.19
1300029,74.6,39.5,35.1,25.4
1300060,73.1,50.5,22.6,26.9
1300086,59.65,59.05,0.6,40.35
1300102,68.05,60.91,7.14,31.95
1300144,58.57,52.87,5.7,41.43
1300201,37.11,28.85,8.27,62.89
1300300,36.92,31.26,5.66,63.08
1300409,54.92,45.64,9.28,45.08
1300508,56.83,48.21,8.62,43.17
1300607,52.65,47.02,5.63,47.35
1300631,62.15,54.82,7.33,37.85
1300680,67.79,48.76,19.03,32.21
1300706,65.46,51.94,13.52,34.54
